,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma30,ma5,ma30_rank,ma30_rank_standard,ma5_rank,ma5_rank_standard
4973,000002.SZ,19991207,,,,,,,,9664.0,10762.2091,,,,,,
4972,000002.SZ,19991208,,,,,,,,24276.0,26238.0874,,,,,,
4971,000002.SZ,19991209,,,,,,,,22375.0,23572.6574,,,,,,
4970,000002.SZ,19991210,,,,,,,,20027.97,21074.3795,,,,,,
4969,000002.SZ,19991213,,,,,,,,16342.0,17040.8318,,,,,,
4968,000002.SZ,19991214,,,,,,,,10030.0,10443.3151,,,,,,
4967,000002.SZ,19991215,,,,,,,,81905.0,91966.0283,,,,,,
4966,000002.SZ,19991216,,,,,,,,32107.0,35687.6649,,,,,,
4965,000002.SZ,19991217,,,,,,,,17816.0,19505.9668,,,,,,
4964,000002.SZ,19991221,,,,,,,,20569.0,21575.3019,,,,,,
4963,000002.SZ,19991222,,,,,,,,42167.0,42359.228,,,,,,
4962,000002.SZ,19991223,,,,,,,,23363.62,22993.5693,,,,,,
4961,000002.SZ,19991224,,,,,,,,14056.0,13845.9502,,,,,,
4960,000002.SZ,19991227,,,,,,,,22979.0,21872.0,,,,,,
4959,000002.SZ,19991228,,,,,,,,16759.0,16143.8354,,,,,,
4958,000002.SZ,19991229,,,,,,,,15065.0,14429.8594,,,,,,
4957,000002.SZ,19991230,,,,,,,,18456.0,17893.6677,,,,,,
4956,000002.SZ,20000104,,,,,,,,45747.0,46053.4516,,,,,,
4955,000002.SZ,20000105,,,,,,,,46137.0,47348.0027,,,,,,
4954,000002.SZ,20000106,,,,,,,,71920.0,74244.3467,,,,,,
4953,000002.SZ,20000107,,,,,,,,136349.0,147505.7488,,,,,,
4952,000002.SZ,20000110,,,,,,,,142425.0,159259.0559,,,,,,
4951,000002.SZ,20000111,,,,,,,,111362.0,125253.8955,,,,,,
