date,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma30,signal_0,signal_1,signal_2,signal,bcomm,scomm,berror,serror,bcount,bprice,scount,sprice,cash,position,assets
2016-01-04,300059.SZ,20160104,13.6954,13.7804,12.4342,12.4342,13.8149,-1.3806999999999992,-9.9943,553506.41,2692485.0162,,,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-05,300059.SZ,20160105,11.4173,12.0598,11.2048,11.7598,12.4342,-0.6744000000000003,-5.4238,860089.3,3793008.3765,,,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-06,300059.SZ,20160106,11.8846,12.3174,11.3429,12.0943,11.7598,0.33450000000000024,2.8444,938953.37,4174728.5631,,,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-07,300059.SZ,20160107,11.6509,11.6509,10.8862,10.8862,12.0943,-1.2081,-9.988999999999999,296312.55,1254668.3459,,,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-08,300059.SZ,20160108,11.0455,11.4438,10.2702,10.9924,10.8862,0.1061999999999994,0.9755,925725.06,3821191.0384,11.633380000000002,,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-11,300059.SZ,20160111,10.5676,11.5102,10.4747,10.5942,10.9924,-0.3981999999999992,-3.6225,861788.96,3529626.0606,11.265380000000002,,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-12,300059.SZ,20160112,10.9128,11.395999999999999,10.6765,11.0615,10.5942,0.4672999999999998,4.4109,947024.37,3939109.9237,11.125720000000003,,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-13,300059.SZ,20160113,11.0933,11.1252,10.472000000000001,10.4853,11.0615,-0.5762,-5.2091,702386.35,2855802.4479,10.803920000000003,,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-14,300059.SZ,20160114,10.1162,11.5341,9.9728,11.404000000000002,10.4853,0.9186999999999994,8.7618,1353672.53,5629199.77,10.907480000000003,,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-15,300059.SZ,20160115,11.2314,11.2739,10.7561,10.9579,11.404000000000002,-0.4460999999999995,-3.9118,907843.08,3786359.3565,10.900580000000003,11.26698,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-18,300059.SZ,20160118,10.9128,11.7306,10.9128,11.3987,10.9579,0.4407999999999994,4.0227,950418.08,4098143.1812,11.061480000000003,11.16343,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-19,300059.SZ,20160119,11.4438,11.9749,11.2181,11.8129,11.3987,0.41420000000000107,3.6337,1049150.75,4576993.8962,11.211760000000002,11.16874,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-20,300059.SZ,20160120,11.4385,11.6615,11.1491,11.327,11.8129,-0.4859000000000009,-4.1133,944527.2,4060536.7038,11.380100000000002,11.092009999999998,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-21,300059.SZ,20160121,11.1252,11.5421,10.8172,10.8252,11.327,-0.5017999999999994,-4.4301,694583.0,2931193.3,11.26434,11.085909999999998,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-22,300059.SZ,20160122,10.9818,11.0588,10.411,10.9393,10.8252,0.11409999999999874,1.054,645002.27,2623766.3888,11.26062,11.080599999999999,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-25,300059.SZ,20160125,10.9128,11.0323,10.7269,10.8145,10.9393,-0.12479999999999868,-1.1408,517220.55,2114670.6178,11.143780000000001,11.102629999999998,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-26,300059.SZ,20160126,10.7004,10.7455,9.7737,9.8534,10.8145,-0.9611,-8.8871,706687.11,2729036.1036,10.751880000000002,10.981819999999999,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-27,300059.SZ,20160127,9.8534,10.2808,9.4976,10.164,9.8534,0.3105999999999991,3.1522,861377.63,3224431.5801,10.519280000000002,10.94969,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-28,300059.SZ,20160128,9.9914,10.0605,9.6489,9.7392,10.164,-0.4247999999999994,-4.1795,560390.34,2076389.7626,10.30208,10.78321,,,,,0,,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-01-29,300059.SZ,20160129,9.7126,10.395,9.6914,10.2357,9.7392,0.4964999999999993,5.098,767294.6,2927426.1319,10.16136,10.710989999999999,10.988985000000001,,-0.06854909711861484,,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-01,300059.SZ,20160201,10.1906,10.1906,9.7923,9.9888,10.2357,-0.2469000000000001,-2.4121,537476.76,2024101.773,9.99622,10.569999999999999,10.866715000000001,,-0.08078936458718218,,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-02,300059.SZ,20160202,10.0764,10.7535,10.0233,10.4747,9.9888,0.4859000000000009,4.8644,718745.05,2824841.9672,10.120479999999999,10.436179999999998,10.80246,,-0.030341237088589046,,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-03,300059.SZ,20160203,10.2357,10.5888,10.1773,10.4641,10.4747,-0.010600000000000165,-0.1012,489642.14,1904862.5878,10.180499999999999,10.349889999999998,10.72095,,-0.02395776493687593,,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-04,300059.SZ,20160204,10.5278,10.9393,10.5145,10.6605,10.4641,0.19640000000000055,1.8769,627178.69,2524572.3869,10.364759999999999,10.33342,10.709665000000001,,-0.004590713154893299,,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-05,300059.SZ,20160205,10.5676,10.7375,10.3525,10.3552,10.6605,-0.3053000000000008,-2.8638,475236.25,1880890.0002,10.388659999999998,10.275009999999998,10.677805000000001,,-0.030212670113380146,,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-15,300059.SZ,20160215,9.8905,10.3844,9.8905,10.2543,10.3552,-0.10089999999999932,-0.9744,360789.15,1377856.8193,10.441759999999999,10.21899,10.660810000000001,,-0.03813124893887057,,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-16,300059.SZ,20160216,10.3817,11.2792,10.3605,11.0747,10.2543,0.8203999999999994,8.0005,899011.74,3691430.2802,10.56176,10.34112,10.661470000000001,,0.03875919549555536,,0,0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-17,300059.SZ,20160217,10.9659,11.1119,10.8411,11.0429,11.0747,-0.031800000000000495,-0.2871,563215.12,2329761.7985,10.677519999999998,10.429010000000002,10.689350000000001,,0.033074976495296574,,0,0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-18,300059.SZ,20160218,11.1836,11.5288,10.9685,11.0004,11.0429,-0.04249999999999865,-0.3849,627742.88,2652874.2451,10.745499999999998,10.555130000000002,10.669170000000003,,0.031045526502998622,,0,0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-19,300059.SZ,20160219,10.934000000000001,11.2845,10.8889,11.1066,11.0004,0.1061999999999994,0.9654,515495.86,2148195.4851,10.895779999999998,10.642220000000002,10.676605000000004,10.87339666666667,0.04027450673692585,,0,0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-22,300059.SZ,20160222,11.2447,11.3243,10.9553,11.2898,11.1066,0.18319999999999936,1.6495,781842.63,3285487.2397,11.102879999999999,10.772320000000002,10.671160000000004,10.835250000000004,0.05797307884053799,,0,0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-23,300059.SZ,20160223,11.3057,11.3057,10.8358,10.9924,11.2898,-0.2973999999999997,-2.6342,548561.68,2275953.7288,11.086419999999999,10.824090000000002,10.630135000000003,10.809670000000004,0.03407905920291671,,0,0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-24,300059.SZ,20160224,10.9261,11.095999999999998,10.6074,10.9101,10.9924,-0.08230000000000004,-0.7487,478440.14,1952338.8623,11.059859999999997,10.868690000000003,10.609290000000003,10.77019666666667,0.02835345249305058,-1.0,0,0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-25,300059.SZ,20160225,10.8358,10.8597,9.8188,9.8188,10.9101,-1.0913000000000004,-10.0027,767343.06,2952259.0374,10.823539999999998,10.784520000000002,10.558970000000004,10.734616666666673,-0.07009869333846049,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-26,300059.SZ,20160226,9.8826,9.9888,9.5586,9.7896,9.8188,-0.02919999999999945,-0.2974,463765.71,1716190.7027,10.560139999999997,10.727960000000001,10.501485000000004,10.69452333333334,-0.06778898412938777,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-02-29,300059.SZ,20160229,9.6781,9.6781,8.8099,8.8099,9.7896,-0.9796999999999992,-10.0076,761712.91,2567839.9401,10.064159999999998,10.583520000000002,10.401255000000003,10.635046666666675,-0.15299644129482465,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-01,300059.SZ,20160301,8.8099,9.4365,8.5895,9.1604,8.8099,0.3504999999999985,3.9785,771673.22,2624780.2081,9.697759999999997,10.39209,10.366605000000003,10.571676666666672,-0.11635487220743954,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-02,300059.SZ,20160302,9.1046,9.7578,8.9745,9.6277,9.1604,0.4673000000000016,5.1013,874917.69,3076248.1610000003,9.441279999999997,10.25057,10.339790000000004,10.543090000000007,-0.06886890352705453,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-03,300059.SZ,20160303,9.625,9.9782,9.5586,9.5985,9.6277,-0.029200000000001225,-0.3033,790077.45,2897190.0297,9.397219999999999,10.110380000000001,10.332755000000004,10.482906666666674,-0.07106091260268962,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-04,300059.SZ,20160304,9.4763,9.5878,8.8922,9.0807,9.5985,-0.5177999999999994,-5.3946,722776.27,2502323.8976,9.255439999999998,9.90779,10.275005000000004,10.420333333333339,-0.11623400669878049,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-07,300059.SZ,20160307,9.3037,9.787,9.2692,9.3675,9.0807,0.2867999999999995,3.1583,648841.91,2319475.252,9.366959999999999,9.71556,10.243940000000006,10.352626666666673,-0.08555692438651587,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-08,300059.SZ,20160308,9.2613,9.779,8.8417,9.6914,9.3675,0.3239000000000001,3.4577,874939.71,3109708.4609,9.473159999999998,9.58546,10.204775000000003,10.281910000000005,-0.05030733161681696,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-09,300059.SZ,20160309,9.4498,9.6516,9.3436,9.4046,9.6914,-0.2867999999999995,-2.9593,518965.21,1856678.5102,9.428539999999998,9.434909999999999,10.151800000000003,10.217830000000005,-0.07360271084930778,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-10,300059.SZ,20160310,9.402000000000001,9.5586,9.0329,9.1471,9.4046,-0.2575000000000003,-2.738,496745.38,1738264.8302,9.338259999999998,9.36774,10.076130000000003,10.16189333333334,-0.09220107322950404,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-11,300059.SZ,20160311,8.9612,9.2905,8.8948,9.2135,9.1471,0.06639999999999979,0.7259,411273.53,1413071.8586,9.364819999999998,9.31013,10.019045000000002,10.104366666666673,-0.0804013755802077,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-14,300059.SZ,20160314,9.3993,9.9941,9.3144,9.7153,9.2135,0.5017999999999994,5.4464,951277.01,3486986.3803,9.434379999999997,9.40067,9.992095000000003,10.067726666666674,-0.02770139795508383,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-15,300059.SZ,20160315,9.6914,9.7711,9.4684,9.4949,9.7153,-0.2203999999999997,-2.2686,539655.38,1950521.524,9.395079999999997,9.43412,9.913105000000003,10.055776666666672,-0.042187084672259983,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-16,300059.SZ,20160316,9.7445,9.7711,9.2427,9.3754,9.4949,-0.1194999999999986,-1.2586,657053.58,2346743.4611,9.389239999999997,9.40889,9.829730000000003,10.029490000000006,-0.04621998773109762,-1.0,0,-0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-17,300059.SZ,20160317,9.4285,10.3127,9.3993,10.3127,9.3754,0.9372999999999988,9.9974,1671764.16,6337431.8444,9.622359999999997,9.48031,9.795345000000003,10.048606666666673,0.05281641432741741,-0.33333333333333337,0,0.0,0.0,0.0,,,0,0.0,0,0.0,10000.0,0,10000.0
2016-03-18,300059.SZ,20160318,10.4056,11.3429,10.3154,11.3429,10.3127,1.030200000000001,9.9896,1757740.3,7152212.5327,10.048239999999996,9.706529999999999,9.807160000000001,10.08551333333334,0.15659375395119468,1.0,1,0.15659375395119468,32.667552,0.0,,,800,11.3429,0,0.0,893.0124480000003,800,9967.33
2016-03-21,300059.SZ,20160321,11.8952,12.4183,11.6562,11.950999999999999,11.3429,0.6081000000000003,5.3611,2119258.39,9531707.9718,10.495379999999995,9.964879999999999,9.84022,10.150920000000006,0.2145053667499302,1.0,1,0.2145053667499302,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10453.81
2016-03-22,300059.SZ,20160322,11.5474,11.8155,11.4279,11.6376,11.950999999999999,-0.3133999999999997,-2.6224,1206070.03,5286673.1952,10.923919999999995,10.1595,9.87248,10.18968333333334,0.17879195501029138,1.0,1,0.17879195501029138,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10203.09
2016-03-23,300059.SZ,20160323,11.6058,12.4793,11.558,12.3731,11.6376,0.7355,6.32,1546806.67,6978278.0513,11.523459999999996,10.45635,9.94563,10.253316666666676,0.24407403050384957,1.0,1,0.24407403050384957,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10791.49
2016-03-24,300059.SZ,20160324,12.0014,12.559000000000001,11.8155,11.8288,12.3731,-0.5443000000000016,-4.3991,1542976.96,7021648.9967,11.826679999999996,10.724520000000002,10.04613,10.292260000000008,0.1774484303906081,1.0,1,0.1774484303906081,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10356.05
2016-03-25,300059.SZ,20160325,11.6828,11.8686,11.3642,11.6191,11.8288,-0.20969999999999975,-1.7728,881707.89,3847322.061,11.881919999999997,10.965080000000002,10.137604999999999,10.334390000000008,0.1461385603404355,1.0,1,0.1461385603404355,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10188.29
2016-03-28,300059.SZ,20160328,11.712,11.8102,11.3403,11.4279,11.6191,-0.19120000000000026,-1.6456,712270.96,3108517.3487,11.777299999999997,11.13634,10.268505,10.373510000000008,0.11290786730882442,1.0,1,0.11290786730882442,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10035.33
2016-03-29,300059.SZ,20160329,11.3668,11.6801,11.1199,11.3615,11.4279,-0.06639999999999979,-0.581,887179.83,3813079.7013,11.722079999999997,11.323000000000002,10.378559999999998,10.383070000000007,0.09470870718095778,1.0,1,0.09470870718095778,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,9982.21
2016-03-30,300059.SZ,20160330,11.5235,12.0811,11.4518,11.9403,11.3615,0.5788000000000011,5.0944,1314791.04,5833234.1756,11.635519999999996,11.579490000000002,10.49419,10.41298333333334,0.13780101179795687,1.0,1,0.13780101179795687,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10445.25
2016-03-31,300059.SZ,20160331,11.8952,12.027999999999999,11.7306,11.7624,11.9403,-0.17790000000000106,-1.4899,889244.25,3964865.663,11.622239999999996,11.72446,10.602384999999998,10.438383333333341,0.10941075993750478,1.0,1,0.10941075993750478,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10302.93
2016-04-01,300059.SZ,20160401,11.6828,11.7014,11.2022,11.4173,11.7624,-0.3451000000000004,-2.9339,707619.08,3047814.3935,11.581879999999995,11.7319,10.719214999999998,10.448740000000008,0.06512463832472815,1.0,1,0.06512463832472815,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10026.85
2016-04-05,300059.SZ,20160405,11.4173,12.1607,11.3084,11.8793,11.4173,0.4620000000000015,4.0465,935264.19,4145079.1904,11.672159999999995,11.724730000000001,10.844804999999997,10.468390000000007,0.09539083459776396,1.0,1,0.09539083459776396,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10396.45
2016-04-06,300059.SZ,20160406,11.7624,11.8129,11.5899,11.7359,11.8793,-0.14339999999999975,-1.2071,595922.16,2628431.306,11.747039999999995,11.73456,10.947029999999998,10.493173333333342,0.07206246808495116,1.0,1,0.07206246808495116,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10281.73
2016-04-07,300059.SZ,20160407,11.8049,11.8235,11.3642,11.3642,11.7359,-0.3717000000000006,-3.1672,580721.77,2525480.0003,11.631819999999996,11.633669999999999,11.04501,10.508310000000007,0.028899023178793025,1.0,1,0.028899023178793025,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,9984.37
2016-04-08,300059.SZ,20160408,11.2394,11.4969,11.0615,11.2845,11.3642,-0.07970000000000077,-0.7013,590475.57,2509210.1169,11.536239999999996,11.579239999999999,11.15188,10.557166666666673,0.011892165267201521,1.0,1,0.011892165267201521,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,9920.61
2016-04-11,300059.SZ,20160411,11.627,11.789000000000001,11.4836,11.4943,11.2845,0.20980000000000126,1.8592,827635.37,3628925.1048,11.551639999999997,11.566759999999999,11.26592,10.613990000000006,0.0202717576549453,1.0,1,0.0202717576549453,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10088.45
2016-04-12,300059.SZ,20160412,11.6164,11.8155,11.3403,11.8155,11.4943,0.3211999999999993,2.7944,828795.58,3621178.644,11.538879999999997,11.605519999999999,11.370929999999998,10.714176666666672,0.0390970659391978,1.0,1,0.0390970659391978,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10345.41
2016-04-13,300059.SZ,20160413,12.027999999999999,12.4793,11.9483,12.0412,11.8155,0.2256999999999998,1.9102,1347721.82,6202322.5747,11.599939999999998,11.673489999999997,11.498244999999999,10.81020333333334,0.04722068454794632,1.0,1,0.04722068454794632,0.0,0.0,,,0,0.0,0,0.0,893.0124480000003,800,10525.97
