,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002456.SZ,20210129,10.21,10.33,10.04,10.28,10.13,0.14999999999999858,1.4808,730310.4,742567.267
1,002456.SZ,20210128,10.29,10.58,10.08,10.13,10.49,-0.35999999999999943,-3.4318,983725.92,1011678.981
2,002456.SZ,20210127,11.01,11.12,10.38,10.49,11.24,-0.75,-6.6726,1563453.07,1660118.563
3,002456.SZ,20210126,10.69,11.51,10.53,11.24,11.12,0.120000000000001,1.0791,1165496.86,1291786.963
4,002456.SZ,20210125,11.75,11.76,11.11,11.12,11.88,-0.7600000000000016,-6.3973,1457012.23,1644294.978
5,002456.SZ,20210122,12.8,12.8,11.7,11.88,12.91,-1.0299999999999994,-7.9783,2163174.61,2607933.663
6,002456.SZ,20210121,13.93,14.16,12.53,12.91,13.92,-1.0099999999999998,-7.2557,1452394.34,1940874.058
7,002456.SZ,20210120,14.0,14.13,13.88,13.92,14.04,-0.11999999999999922,-0.8547,375452.65,525135.759
8,002456.SZ,20210119,14.31,14.42,14.02,14.04,14.3,-0.26000000000000156,-1.8182,457309.75,647358.923
9,002456.SZ,20210118,13.92,14.36,13.86,14.3,13.97,0.33000000000000007,2.3622,525262.39,747549.227
10,002456.SZ,20210115,14.2,14.33,13.83,13.97,14.28,-0.3099999999999987,-2.1709,624642.73,876408.352
11,002456.SZ,20210114,14.51,14.83,14.27,14.28,14.52,-0.2400000000000002,-1.6529,899025.46,1303577.744
12,002456.SZ,20210113,14.03,14.58,13.93,14.52,14.04,0.4800000000000004,3.4188,1055868.83,1505997.041
13,002456.SZ,20210112,13.58,14.25,13.3,14.04,13.65,0.3899999999999988,2.8571,777655.59,1076734.323
14,002456.SZ,20210111,13.65,13.94,13.5,13.65,13.62,0.030000000000001137,0.2203,565056.69,777499.478
15,002456.SZ,20210108,13.25,13.85,13.24,13.62,13.22,0.3999999999999986,3.0257,549015.29,746110.178
16,002456.SZ,20210107,13.57,13.62,13.03,13.22,13.57,-0.34999999999999964,-2.5792,503432.52,669247.158
17,002456.SZ,20210106,13.95,13.99,13.51,13.57,13.93,-0.35999999999999943,-2.5844,496691.0,677393.369
18,002456.SZ,20210105,13.33,13.93,13.28,13.93,13.36,0.5700000000000003,4.2665,760647.49,1041940.298
19,002456.SZ,20210104,13.09,13.44,12.96,13.36,13.18,0.17999999999999972,1.3657,519107.76,687731.165
20,002456.SZ,20201231,12.83,13.46,12.78,13.18,12.83,0.34999999999999964,2.728,624458.81,822973.273
21,002456.SZ,20201230,12.97,13.08,12.69,12.83,13.1,-0.2699999999999996,-2.0611,637421.57,817470.948
22,002456.SZ,20201229,13.03,13.36,12.5,13.1,13.05,0.049999999999998934,0.3831,518553.56,676372.253
23,002456.SZ,20201228,13.76,13.77,13.04,13.05,13.83,-0.7799999999999994,-5.6399,695758.03,919202.46
24,002456.SZ,20201225,14.01,14.04,13.72,13.83,14.05,-0.22000000000000064,-1.5658,349934.02,485119.873
25,002456.SZ,20201224,14.28,14.28,13.96,14.05,14.3,-0.25,-1.7483,328887.48,462305.829
26,002456.SZ,20201223,14.27,14.37,14.0,14.3,14.23,0.07000000000000028,0.4919,389054.79,551937.832
27,002456.SZ,20201222,14.59,14.59,14.2,14.23,14.66,-0.4299999999999997,-2.9332,363218.02,522873.167
28,002456.SZ,20201221,14.37,14.84,14.32,14.66,14.17,0.4900000000000002,3.458,535729.49,783473.361
29,002456.SZ,20201218,14.39,14.43,14.14,14.17,14.38,-0.21000000000000085,-1.4604,282637.61,402123.008
30,002456.SZ,20201217,14.32,14.39,13.75,14.38,14.38,0.0,0.0,555640.11,782433.293
31,002456.SZ,20201216,14.6,14.72,14.35,14.38,14.55,-0.16999999999999993,-1.1684,242491.93,351860.098
32,002456.SZ,20201215,14.51,14.64,14.4,14.55,14.51,0.040000000000000924,0.2757,219198.12,318508.928
33,002456.SZ,20201214,14.45,14.55,14.3,14.51,14.44,0.07000000000000028,0.4848,246453.81,355958.457
34,002456.SZ,20201211,14.82,14.86,14.34,14.44,14.83,-0.39000000000000057,-2.6298,464997.79,674441.724
35,002456.SZ,20201210,15.11,15.12,14.71,14.83,15.12,-0.28999999999999915,-1.918,392035.48,582927.58
36,002456.SZ,20201209,15.42,15.54,15.11,15.12,15.38,-0.26000000000000156,-1.6905,322779.75,494664.751
37,002456.SZ,20201208,15.4,15.5,15.3,15.38,15.3,0.08000000000000007,0.5229,226975.11,349136.933
38,002456.SZ,20201207,15.54,15.66,15.29,15.3,15.57,-0.2699999999999996,-1.7341,374625.98,577526.756
39,002456.SZ,20201204,15.6,15.72,15.49,15.57,15.83,-0.2599999999999998,-1.6425,454052.57,707899.771
40,002456.SZ,20201203,15.73,16.45,15.54,15.83,15.81,0.019999999999999574,0.1265,792217.01,1258638.486
41,002456.SZ,20201202,15.49,15.96,15.46,15.81,15.49,0.3200000000000003,2.0658,663942.45,1042505.414
42,002456.SZ,20201201,15.31,15.52,15.26,15.49,15.35,0.14000000000000057,0.9121,380965.9,587744.466
43,002456.SZ,20201130,15.43,15.57,15.29,15.35,15.37,-0.019999999999999574,-0.1301,382936.31,591221.078
44,002456.SZ,20201127,15.17,15.38,15.08,15.37,15.12,0.25,1.6534,308253.13,469704.168
45,002456.SZ,20201126,15.19,15.27,15.02,15.12,15.21,-0.09000000000000163,-0.5917,286382.12,433255.746
46,002456.SZ,20201125,15.51,15.58,15.2,15.21,15.49,-0.27999999999999936,-1.8076,408474.69,627649.103
47,002456.SZ,20201124,15.62,15.68,15.42,15.49,15.62,-0.129999999999999,-0.8323,388206.38,603133.739
48,002456.SZ,20201123,15.55,15.67,15.42,15.62,15.31,0.3099999999999987,2.0248,543647.08,846340.859
49,002456.SZ,20201120,15.3,15.4,15.2,15.31,15.27,0.040000000000000924,0.262,310973.17,475109.401
50,002456.SZ,20201119,15.23,15.42,15.11,15.27,15.32,-0.05000000000000071,-0.3264,319093.31,488154.777
51,002456.SZ,20201118,15.18,15.44,15.14,15.32,15.3,0.019999999999999574,0.1307,410302.44,627283.221
52,002456.SZ,20201117,15.72,15.73,15.0,15.3,15.81,-0.5099999999999998,-3.2258,832382.02,1264296.089
53,002456.SZ,20201116,16.22,16.28,15.7,15.81,16.22,-0.40999999999999837,-2.5277,616701.12,979868.505
54,002456.SZ,20201113,16.06,16.32,15.92,16.22,16.25,-0.030000000000001137,-0.1846,412170.42,665550.207
55,002456.SZ,20201112,16.15,16.28,16.0,16.25,16.04,0.21000000000000085,1.3092,417422.6,674896.029
56,002456.SZ,20201111,16.5,16.65,16.01,16.04,16.66,-0.620000000000001,-3.7215,769806.51,1246168.32
57,002456.SZ,20201110,16.9,16.9,16.45,16.66,16.98,-0.3200000000000003,-1.8846,915577.46,1524706.492
58,002456.SZ,20201109,16.7,17.28,16.57,16.98,16.57,0.41000000000000014,2.4744,1513579.91,2560787.859
59,002456.SZ,20201106,16.0806,16.6202,15.9806,16.5703,16.0706,0.4997000000000007,3.1094,1223908.66,2009701.067
60,002456.SZ,20201105,16.2105,16.2305,15.9007,16.0706,15.9107,0.1598999999999986,1.005,658947.6,1058357.663
61,002456.SZ,20201104,16.0006,16.1305,15.7707,15.9107,16.0806,-0.16990000000000016,-1.0566,533520.86,850344.251
62,002456.SZ,20201103,15.7408,16.2205,15.6108,16.0806,15.7807,0.29990000000000094,1.9004,721999.02,1153880.816
63,002456.SZ,20201102,15.4509,15.8307,15.351,15.7807,15.4409,0.3398000000000003,2.2006,550614.67,862170.056
64,002456.SZ,20201030,15.9906,16.2305,15.4309,15.4409,15.9906,-0.5497000000000014,-3.4376,809450.93,1273500.241
65,002456.SZ,20201029,15.8907,16.0905,15.7208,15.9906,16.2405,-0.24990000000000023,-1.5387,905033.76,1442993.769
66,002456.SZ,20201028,15.4209,16.3704,15.351,16.2405,15.4409,0.7996000000000016,5.1785,1563356.1,2504685.748
67,002456.SZ,20201027,15.261,15.6108,15.1911,15.4409,15.261,0.17989999999999995,1.1788,552961.27,853731.364
68,002456.SZ,20201026,15.1411,15.391,14.9812,15.261,15.261,0.0,0.0,353896.18,537421.004
69,002456.SZ,20201023,15.401,15.6408,15.2111,15.261,15.391,-0.13000000000000078,-0.8446,460184.1,709935.417
70,002456.SZ,20201022,15.2011,15.4609,15.1011,15.391,15.321,0.07000000000000028,0.4569,389872.34,599097.695
71,002456.SZ,20201021,15.6008,15.6008,15.2211,15.321,15.5908,-0.26980000000000004,-1.7305,455187.32,698886.287
72,002456.SZ,20201020,15.2111,15.6108,15.0012,15.5908,15.2111,0.3796999999999997,2.4962,615547.34,946392.829
73,002456.SZ,20201019,15.2211,15.4709,15.1711,15.2111,15.0711,0.14000000000000057,0.9289,485457.07,743750.281
74,002456.SZ,20201016,15.1611,15.1611,14.9212,15.0711,15.1311,-0.0600000000000005,-0.3965,318865.61,479089.044
75,002456.SZ,20201015,15.251,15.401,15.1111,15.1311,14.9512,0.17989999999999995,1.2032,607322.23,925199.312
76,002456.SZ,20201014,15.291,15.291,14.9012,14.9512,15.331,-0.37979999999999947,-2.4773,555592.12,833706.912
77,002456.SZ,20201013,15.5109,15.5209,15.2011,15.331,15.5109,-0.17989999999999995,-1.1598,573319.14,878483.4
78,002456.SZ,20201012,15.241,15.5109,15.1711,15.5109,15.1111,0.39979999999999905,2.6457,817831.48,1257222.856
79,002456.SZ,20201009,14.7214,15.1111,14.6614,15.1111,14.4015,0.7096,4.9273,644626.95,965067.636
80,002456.SZ,20200930,14.5515,14.6414,14.3716,14.4015,14.5515,-0.15000000000000036,-1.0308,291003.71,422385.092
81,002456.SZ,20200929,14.5115,14.6714,14.4915,14.5515,14.4515,0.10000000000000142,0.692,320204.8,467180.746
82,002456.SZ,20200928,14.4215,14.6714,14.2017,14.4515,14.3716,0.07989999999999853,0.556,383247.49,553121.523
83,002456.SZ,20200925,14.4815,14.6214,14.3616,14.3716,14.4815,-0.10989999999999966,-0.7589,297280.84,430037.372
84,002456.SZ,20200924,14.7913,14.8513,14.4515,14.4815,14.9712,-0.48969999999999914,-3.2709,479541.61,700957.44
85,002456.SZ,20200923,14.8913,15.0711,14.8113,14.9712,14.8213,0.1498999999999988,1.0114,335038.93,501369.667
86,002456.SZ,20200922,15.0012,15.1111,14.7413,14.8213,15.1611,-0.33979999999999855,-2.2413,457516.55,684182.91
87,002456.SZ,20200921,15.1811,15.381,15.1011,15.1611,15.251,-0.08990000000000009,-0.5895,516677.13,786721.56
88,002456.SZ,20200918,14.8713,15.291,14.7913,15.251,14.9112,0.3398000000000003,2.2788,889457.07,1345942.378
89,002456.SZ,20200917,14.5315,15.0412,14.3316,14.9112,14.6614,0.2497999999999987,1.7038,783992.26,1157256.792
90,002456.SZ,20200916,14.8413,14.8713,14.5215,14.6614,14.8713,-0.2098999999999993,-1.4114,444184.69,652950.05
91,002456.SZ,20200915,14.9512,14.9812,14.6214,14.8713,14.9312,-0.05990000000000073,-0.4012,514060.25,760208.636
92,002456.SZ,20200914,14.8513,15.0612,14.7313,14.9312,14.7913,0.1399000000000008,0.9458,711312.24,1059571.611
93,002456.SZ,20200911,14.1117,14.7913,14.1117,14.7913,14.2516,0.5396999999999998,3.7869,857236.76,1250450.767
94,002456.SZ,20200910,14.8113,14.8513,14.2216,14.2516,14.6514,-0.3998000000000008,-2.7287,826013.94,1204831.719
95,002456.SZ,20200909,15.0012,15.1811,14.6214,14.6514,15.251,-0.5995999999999988,-3.9315,1024475.71,1521156.708
