,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002556.SZ,20210129,8.2,8.23,8.01,8.11,8.18,-0.07000000000000028,-0.8557,77771.07,62826.33
1,002556.SZ,20210128,8.28,8.39,8.15,8.18,8.38,-0.20000000000000107,-2.3866,78775.14,64844.866
2,002556.SZ,20210127,8.53,8.6,8.29,8.38,8.53,-0.14999999999999858,-1.7585,119040.94,100038.609
3,002556.SZ,20210126,8.46,8.73,8.33,8.53,8.47,0.05999999999999872,0.7084,189381.75,161772.548
4,002556.SZ,20210125,8.39,8.53,8.3,8.47,8.24,0.23000000000000043,2.7913,176860.12,149120.265
5,002556.SZ,20210122,8.25,8.39,8.19,8.24,8.23,0.009999999999999787,0.1215,88357.33,73061.058
6,002556.SZ,20210121,8.3,8.38,8.18,8.23,8.3,-0.07000000000000028,-0.8434,88648.92,73013.851
7,002556.SZ,20210120,8.18,8.4,8.1,8.3,8.15,0.15000000000000036,1.8405,103318.53,85307.479
8,002556.SZ,20210119,8.33,8.33,8.1,8.15,8.3,-0.15000000000000036,-1.8072,97342.15,79718.972
9,002556.SZ,20210118,8.27,8.45,8.19,8.3,8.36,-0.05999999999999872,-0.7177,141961.56,117922.991
10,002556.SZ,20210115,8.64,8.64,8.28,8.36,8.0,0.35999999999999943,4.5,232828.94,196658.858
11,002556.SZ,20210114,8.05,8.11,7.93,8.0,8.05,-0.05000000000000071,-0.6211,56332.55,45124.572
12,002556.SZ,20210113,7.99,8.12,7.86,8.05,7.99,0.0600000000000005,0.7509,90152.92,71921.48
13,002556.SZ,20210112,7.98,8.15,7.83,7.99,7.95,0.040000000000000036,0.5031,87832.51,70341.443
14,002556.SZ,20210111,7.81,8.13,7.74,7.95,7.79,0.16000000000000014,2.0539,110035.88,87291.341
15,002556.SZ,20210108,7.85,7.86,7.7,7.79,7.84,-0.04999999999999982,-0.6378,63400.36,49280.545
16,002556.SZ,20210107,7.88,7.98,7.69,7.84,7.88,-0.040000000000000036,-0.5076,109364.32,85663.982
17,002556.SZ,20210106,8.0,8.04,7.81,7.88,8.03,-0.14999999999999947,-1.868,123525.97,97541.864
18,002556.SZ,20210105,8.25,8.25,7.99,8.03,8.27,-0.2400000000000002,-2.9021,138264.35,111775.553
19,002556.SZ,20210104,8.0,8.43,7.96,8.27,8.01,0.2599999999999998,3.2459,164469.61,135867.86
20,002556.SZ,20201231,7.99,8.05,7.94,8.01,8.02,-0.009999999999999787,-0.1247,86827.2,69309.987
21,002556.SZ,20201230,7.99,8.06,7.89,8.02,7.95,0.0699999999999994,0.8805,67532.53,53865.79
22,002556.SZ,20201229,8.06,8.1,7.89,7.95,8.01,-0.05999999999999961,-0.7491,87227.42,69561.583
23,002556.SZ,20201228,8.34,8.35,8.0,8.01,8.3,-0.2900000000000009,-3.494,121925.96,98914.204
24,002556.SZ,20201225,8.04,8.35,7.95,8.3,8.04,0.26000000000000156,3.2338,141100.7,115731.876
25,002556.SZ,20201224,8.1,8.27,7.98,8.04,8.09,-0.05000000000000071,-0.618,111249.72,90360.848
26,002556.SZ,20201223,8.16,8.23,8.04,8.09,8.19,-0.09999999999999964,-1.221,110638.23,89908.116
27,002556.SZ,20201222,8.26,8.38,8.14,8.19,8.31,-0.120000000000001,-1.444,129460.12,106691.449
28,002556.SZ,20201221,8.04,8.5,8.04,8.31,7.9,0.41000000000000014,5.1899,217171.27,180859.025
29,002556.SZ,20201218,7.84,8.02,7.8,7.9,7.85,0.05000000000000071,0.6369,73074.03,57681.156
30,002556.SZ,20201217,8.06,8.06,7.6,7.85,8.01,-0.16000000000000014,-1.9975,153558.8,119791.57
31,002556.SZ,20201216,8.27,8.34,7.99,8.01,8.27,-0.2599999999999998,-3.1439,120792.97,97742.563
32,002556.SZ,20201215,8.35,8.39,8.19,8.27,8.42,-0.15000000000000036,-1.7815,83390.5,68889.632
33,002556.SZ,20201214,8.39,8.48,8.26,8.42,8.39,0.02999999999999936,0.3576,47606.25,39852.766
34,002556.SZ,20201211,8.6,8.61,8.33,8.39,8.55,-0.16000000000000014,-1.8713,66629.02,56026.529
35,002556.SZ,20201210,8.31,8.73,8.27,8.55,8.35,0.20000000000000107,2.3952,120468.94,103174.16
36,002556.SZ,20201209,8.38,8.42,8.25,8.35,8.38,-0.030000000000001137,-0.358,63492.44,52935.496
37,002556.SZ,20201208,8.48,8.58,8.36,8.38,8.47,-0.08999999999999986,-1.0626,88069.98,74317.972
38,002556.SZ,20201207,8.63,8.68,8.47,8.47,8.64,-0.16999999999999993,-1.9676,89724.96,76788.986
39,002556.SZ,20201204,8.7,8.7,8.56,8.64,8.65,-0.009999999999999787,-0.1156,68018.38,58639.709
40,002556.SZ,20201203,8.6,8.72,8.51,8.65,8.6,0.05000000000000071,0.5814,81723.34,70520.749
41,002556.SZ,20201202,8.59,8.68,8.45,8.6,8.58,0.019999999999999574,0.2331,63950.0,54842.629
42,002556.SZ,20201201,8.44,8.67,8.43,8.58,8.43,0.15000000000000036,1.7794,72539.8,62074.217
43,002556.SZ,20201130,8.55,8.66,8.43,8.43,8.56,-0.13000000000000078,-1.5187,98362.29,84014.052
44,002556.SZ,20201127,8.67,8.67,8.43,8.56,8.6,-0.03999999999999915,-0.4651,95008.48,80908.15
45,002556.SZ,20201126,8.68,8.79,8.55,8.6,8.7,-0.09999999999999964,-1.1494,150803.6,130074.522
46,002556.SZ,20201125,9.0,9.04,8.68,8.7,9.01,-0.3100000000000005,-3.4406,172799.0,152203.003
47,002556.SZ,20201124,9.26,9.27,8.92,9.01,9.23,-0.22000000000000064,-2.3835,170861.69,154262.51
48,002556.SZ,20201123,8.77,9.47,8.66,9.23,8.75,0.4800000000000004,5.4857,316273.01,289563.972
49,002556.SZ,20201120,8.7,8.82,8.61,8.75,8.73,0.019999999999999574,0.2291,86244.4,75150.081
50,002556.SZ,20201119,8.89,8.9,8.67,8.73,8.93,-0.1999999999999993,-2.2396,112336.95,98231.69
51,002556.SZ,20201118,8.88,9.08,8.84,8.93,9.01,-0.08000000000000007,-0.8879,88379.67,79012.778
52,002556.SZ,20201117,8.88,9.23,8.8,9.01,9.0,0.009999999999999787,0.1111,132612.78,119339.087
53,002556.SZ,20201116,9.19,9.22,8.57,9.0,9.27,-0.2699999999999996,-2.9126,253912.95,224036.945
54,002556.SZ,20201113,9.12,9.31,9.1,9.27,9.06,0.20999999999999908,2.3179,134010.33,123574.128
55,002556.SZ,20201112,9.18,9.3,8.99,9.06,9.22,-0.16000000000000014,-1.7354,93484.32,85171.751
56,002556.SZ,20201111,8.9,9.44,8.88,9.22,8.91,0.3100000000000005,3.4792,214246.76,198054.262
57,002556.SZ,20201110,8.9,9.08,8.81,8.91,8.9,0.009999999999999787,0.1124,79824.89,71400.258
58,002556.SZ,20201109,9.02,9.1,8.88,8.9,8.94,-0.03999999999999915,-0.4474,105984.25,95071.641
59,002556.SZ,20201106,9.07,9.19,8.8,8.94,9.09,-0.15000000000000036,-1.6502,114044.5,102034.667
60,002556.SZ,20201105,9.33,9.38,8.98,9.09,9.18,-0.08999999999999986,-0.9804,146303.25,133372.648
61,002556.SZ,20201104,9.08,9.36,9.08,9.18,9.1,0.08000000000000007,0.8791,147337.46,135841.503
62,002556.SZ,20201103,8.84,9.25,8.72,9.1,8.92,0.17999999999999972,2.0179,189968.02,171665.957
63,002556.SZ,20201102,8.19,9.03,8.01,8.92,8.21,0.7099999999999991,8.648,243599.52,209452.697
64,002556.SZ,20201030,8.47,8.51,8.13,8.21,8.46,-0.25,-2.9551,108182.5,89257.936
