,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma30,ma30_rank,ma30_rank_standard,signal,close5v,close10v,close20v,close30v
2601,300022.SZ,20091030,7.9551,12.7775,7.0301,8.7099,4.3784,4.331499999999999,98.9288,161826.53,568326.4753,,,,,,,,12.446870802190613,14.636103744015433,25.454597641763968,18.906876083537128
2600,300022.SZ,20091102,7.9724,9.5807,7.9724,9.5807,8.7099,0.8708000000000009,9.9978,84145.28,306075.592,,,,,,,,10.556118028954042,13.413946788856762,20.826348805410877,16.838226851900174
2599,300022.SZ,20091103,9.3735,10.0469,9.0479,9.3611,9.5807,-0.2195999999999998,-2.2921,77814.82,301893.0743,,,,,,,,11.884073452906176,15.101537212507077,20.158207902917393,16.735212742092276
2598,300022.SZ,20091104,9.2255,9.8495,9.1811,9.6251,9.3611,0.2639999999999993,2.8202,38695.25,150383.5311,,,,,,,,12.660128206460193,15.835367944229152,19.507849269098504,15.351009340162701
2597,300022.SZ,20091105,9.667,10.5871,9.667,10.5871,9.6251,0.9619999999999996,9.9947,35735.75,149369.7004,9.572779999999998,,,,,,,11.495782603356917,14.503688451039473,17.106195275382305,14.084310151032861
2596,300022.SZ,20091109,10.6043,11.5688,10.3231,10.8411,10.5871,0.2540000000000013,2.3991,42272.82,186321.3491,9.999019999999998,,,,,,,11.75886210808866,14.122921105791848,17.70198596083423,14.066008061912536
2595,300022.SZ,20091110,10.8288,11.0237,10.0641,10.1135,10.8411,-0.7276000000000007,-6.7115,35765.83,152251.1203,10.10558,,,,,,,12.70727245760617,16.146339051762496,17.52429920403421,14.507242794284867
2594,300022.SZ,20091111,9.9408,11.1248,9.9285,11.1248,10.1135,1.0113000000000003,9.9995,38301.64,163886.6268,10.458319999999999,,,,,,,12.707374514598014,16.14635768732921,15.332590248813462,13.52554652667913
2593,300022.SZ,20091112,11.2235,12.2348,11.1001,12.1855,11.1248,1.0606999999999989,9.5346,39062.42,184975.6667,10.9704,,,,,,,12.508062861597802,16.214599318862582,14.117434655943539,12.251036067457225
2592,300022.SZ,20091113,12.1362,13.0242,11.7292,12.1707,12.1855,-0.0147999999999992,-0.1215,45050.74,227280.6482,11.287119999999998,10.42995,,,,,,12.61652986270305,17.85772387783776,13.376551882800495,12.31252105466407
2591,300022.SZ,20091116,12.0622,12.9946,11.8402,12.7479,12.1707,0.5771999999999995,4.7425,31226.78,157466.9125,11.668479999999999,10.833749999999998,,,,,,12.010448779799026,17.391648820590056,12.917970803034226,11.92918049247327
2590,300022.SZ,20091117,12.7282,12.9896,12.3532,12.8515,12.7479,0.1036000000000001,0.8127,23593.82,121405.2206,12.21608,11.16083,,,,,,12.706376687546202,15.525891919231219,12.552775940551689,11.55468233280162
2589,300022.SZ,20091118,13.0242,14.1367,13.0242,14.1367,12.8515,1.2851999999999997,10.0004,36479.74,203700.0382,12.818459999999998,11.63839,,,,,,12.706289303727178,13.348447657515546,11.08179419525066,10.066281381086108
2588,300022.SZ,20091119,14.5042,15.5205,14.1589,15.2417,14.1367,1.1050000000000004,7.8165,43913.37,265419.0577,13.4297,12.20005,,,,,,12.963317740147096,12.319163872796342,9.69412860770124,9.207043833693092
2587,300022.SZ,20091120,15.0469,15.4859,14.6769,15.3552,15.2417,0.1135000000000001,0.7447,29349.89,179671.1058,14.0666,12.67686,,,,,,14.154227883713661,11.794375846618735,9.710847139731166,8.592789413358341
2586,300022.SZ,20091123,15.2689,15.5402,14.6793,15.3108,15.3552,-0.0443999999999995,-0.2892,27902.76,170934.3804,14.57918,13.123829999999998,,,,,,14.480432113279516,12.534224207748778,9.959701648509549,8.746571047887766
2585,300022.SZ,20091124,15.3182,16.6453,15.2615,16.3296,15.3108,1.0187999999999988,6.6541,45471.46,294987.0235,15.274799999999999,13.745439999999997,,,,,,12.218976582402508,10.85341955712326,8.984849598275526,8.283975112678817
2584,300022.SZ,20091125,16.1569,17.9625,15.8411,17.9625,16.3296,1.6328999999999994,9.9996,39216.02,270559.3415,16.03996,14.429209999999998,,,,,,10.505386221294364,9.496005567153794,8.376840640222687,7.294697286012526
2583,300022.SZ,20091201,17.9625,19.7583,17.3162,19.7583,17.9625,1.7957999999999998,9.9975,33224.17,251582.9776,16.943279999999998,15.186489999999997,,,,,,9.503094901889334,8.706619496616613,7.555558929665001,7.294605305112283
2582,300022.SZ,20091202,20.2639,21.7341,19.815,21.7341,19.7583,1.975800000000003,9.9998,38391.09,328810.4613,18.21906,16.142829999999996,13.28639,,,,,8.332758200247536,7.490625330701524,6.894787453816813,6.957223901610833
2581,300022.SZ,20091203,21.2876,23.8037,21.2876,22.1707,21.7341,0.4365999999999985,2.0088,50367.66,463792.3932,19.59104,17.08511,13.959430000000001,,,,,8.655973875430185,7.42768609020013,6.859142922866667,6.759010766462042
2580,300022.SZ,20091204,19.9531,21.6083,19.9531,19.9531,22.1707,-2.217600000000001,-10.0024,46170.18,378814.2432,20.315739999999998,17.795270000000002,14.478050000000001,,,,,8.882429296700764,8.085059464444122,7.442201963604653,7.249349725105373
2579,300022.SZ,20091207,18.1302,19.6843,17.9822,18.8703,19.9531,-1.0827999999999989,-5.4267,56868.79,429026.4562,20.4973,18.26863,14.95351,,,,,9.039177967493893,8.30193478641039,7.5411625676327345,7.082346332596725
2578,300022.SZ,20091208,18.8209,19.2847,18.076,18.7765,18.8703,-0.0938000000000016,-0.4971,45140.2,342484.0928,20.300939999999997,18.62211,15.411080000000002,,,,,9.161877879263974,7.869144941815568,7.473757089979496,7.121668042499934
2577,300022.SZ,20091209,18.2289,18.8579,17.7602,18.1105,18.7765,-0.6660000000000004,-3.547,39264.94,291872.744,19.57622,18.897640000000003,15.78725,,,,,8.98937080699042,8.233455730101323,7.285497363407969,6.818309820270009
2576,300022.SZ,20091210,18.2116,19.7336,17.9576,19.1909,18.1105,1.080400000000001,5.9656,50622.5,388064.9437,18.980259999999998,19.28565,16.20474,,,,,8.580994117003373,7.946005658932098,6.978151102866463,6.434455914000907
2575,300022.SZ,20091211,18.9097,18.9147,17.3409,17.7232,19.1909,-1.467700000000001,-7.6479,43107.64,316227.9789,18.534279999999995,19.42501,16.585225,,,,,9.102306581204298,8.278358310011738,7.632594565315519,7.116209262435678
2574,300022.SZ,20091214,17.5876,17.5876,16.6774,17.0572,17.7232,-0.6659999999999968,-3.7578,30512.11,210756.8038,18.171659999999996,19.33448,16.881845000000006,,,,,9.184391342072555,8.821436109091762,7.681858687240578,7.187287479773936
2573,300022.SZ,20091215,17.0572,17.5136,16.7242,17.2028,17.0572,0.1455999999999981,0.8536,27961.6,194022.9755,17.856919999999995,19.07893,17.132710000000007,,,,,8.589008766014834,8.677947775943451,8.378229125491199,6.928581393726603
2572,300022.SZ,20091216,16.7958,16.966,16.2802,16.2802,17.2028,-0.9225999999999992,-5.3631,26313.27,176722.8088,17.490859999999998,18.53354,17.338185000000003,15.035440000000001,,,,9.159101239542512,9.204555226594268,9.287908010958096,7.545484699205169
2571,300022.SZ,20091217,16.0631,16.9709,15.9793,16.4677,16.2802,0.1875,1.1517,29875.01,200248.8465,16.94622,17.96324,17.524175000000003,15.294033333333335,,,,9.260005951043556,9.234562203586414,9.099752849517541,7.3486886450445414
