,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma30,ma5_-1,ma30_-1,close5v,close10v,close20v,close30v,select
2567,300022.SZ,20091217,16.0631,16.9709,15.9793,16.4677,16.2802,0.1875,1.1517,29875.01,200248.8465,16.94622,15.294033333333335,17.490859999999998,15.035440000000001,9.260005951043556,9.234562203586414,9.099752849517541,7.3486886450445414,False
2566,300022.SZ,20091218,16.0335,16.6749,14.9235,16.1322,16.4677,-0.3354999999999997,-2.0373,39172.18,250313.6096,16.62802,15.512416666666669,16.94622,15.294033333333335,9.09479178289384,9.204882161143551,8.966353008269175,7.805816937553463,False
2565,300022.SZ,20091221,15.7869,16.1075,15.5501,15.666,16.1322,-0.4662000000000006,-2.8899,20077.74,128314.7618,16.34978,15.72258,16.62802,15.512416666666669,9.604812970764714,9.083620579599131,8.530958764202731,7.998723349929784,False
2564,300022.SZ,20091222,15.6265,16.1273,14.6892,14.7755,15.666,-0.8905000000000012,-5.6843,23413.03,145825.1771,15.864319999999998,15.894260000000003,16.34978,15.72258,10.103549795269195,9.497546614327772,9.050116747318196,8.347264051977938,False
2563,300022.SZ,20091223,14.5535,15.1899,14.3809,14.9112,14.7755,0.1356999999999999,0.9184,22880.77,138071.4317,15.590519999999998,16.038396666666667,15.864319999999998,15.894260000000003,10.049627125918775,8.848650678684479,8.281224851118623,8.155480444229841,False
2562,300022.SZ,20091224,14.5042,15.5402,14.3611,15.2491,14.9112,0.3379000000000012,2.2661,29531.65,178898.6032,15.346799999999998,16.185330000000004,15.590519999999998,16.038396666666667,9.972522968568637,8.781960902610646,8.09772380009312,7.926238269799529,False
2561,300022.SZ,20091225,14.8964,14.9975,14.3759,14.6719,15.2491,-0.5771999999999995,-3.7851,24522.53,145600.3049,15.054739999999999,16.33727666666667,15.346799999999998,16.185330000000004,10.121047717064593,9.219937431416517,8.59616000654312,8.505374218744674,False
2560,300022.SZ,20091228,14.8742,15.5599,14.7213,15.0469,14.6719,0.375,2.5559,23317.16,143258.5203,14.930919999999997,16.468013333333335,15.054739999999999,16.33727666666667,9.457363310715163,8.708172447480875,8.147525403903794,8.654074925732209,False
2559,300022.SZ,20091229,15.0444,15.5328,14.593,14.9285,15.0469,-0.1184000000000011,-0.7869,22277.02,136011.0129,14.961519999999997,16.55944666666667,14.930919999999997,16.468013333333335,9.400207656495963,9.654620357035203,7.984124325953713,8.633486284623372,False
2558,300022.SZ,20091230,14.9235,15.4169,14.6275,14.9852,14.9285,0.056700000000001,0.3798,21904.35,133569.5836,14.976319999999996,16.653263333333335,14.961519999999997,16.55944666666667,8.804954221498544,10.090556015268398,8.197554920855243,8.712729893494915,False
2557,300022.SZ,20100104,15.3034,15.5377,15.0987,15.2072,14.9852,0.2219999999999995,1.4815,16035.66,99409.8292,14.967939999999995,16.73524,14.976319999999996,16.653263333333335,8.806157609553368,9.85401651849124,7.957809458677469,9.051107370193067,False
2556,300022.SZ,20100105,15.2195,15.3305,14.4302,14.8495,15.2072,-0.3576999999999994,-2.3522,18559.0,110734.1129,15.003459999999995,16.801840000000002,14.967939999999995,16.73524,9.109666992154619,9.740866695848345,8.480083504495099,9.418633624027745,False
2555,300022.SZ,20100106,14.6793,14.7015,14.2082,14.2304,14.8495,-0.6191000000000013,-4.1692,21429.31,124689.5843,14.840159999999994,16.804963333333333,15.003459999999995,16.801840000000002,9.207822689453565,9.391584214076905,8.8056554980886,10.811221047897458,False
2554,300022.SZ,20100107,14.0084,14.5042,13.9369,14.0331,14.2304,-0.1973000000000002,-1.3865,14163.77,81528.7002,14.661079999999995,16.764676666666666,14.840159999999994,16.804963333333333,10.270645830215706,9.528899530395993,8.788863472789334,11.734898204958277,False
2553,300022.SZ,20100108,13.9344,14.0577,13.0316,13.1944,14.0331,-0.8386999999999993,-5.9766,23206.0,125497.7063,14.302919999999995,16.69265,14.661079999999995,16.764676666666666,11.460089128721275,9.358743103134664,9.216637361304796,12.114381858970471,False
2552,300022.SZ,20100111,13.4435,13.4435,12.9378,13.3917,13.1944,0.1973000000000002,1.4953,16225.65,86992.5143,13.939819999999994,16.62868,14.302919999999995,16.69265,11.189916142088009,9.220860682362956,9.02559047768394,12.838474577536834,False
2551,300022.SZ,20100112,13.3202,13.5397,13.1228,13.5274,13.3917,0.1356999999999999,1.0133,15089.99,81863.5053,13.675399999999996,16.535273333333333,13.939819999999994,16.62868,10.69288998625013,9.323447225630941,9.224980410130549,12.755296657155107,False
2550,300022.SZ,20100113,13.3202,13.4435,12.9748,13.1031,13.5274,-0.4243000000000005,-3.1366,12104.25,64755.3648,13.449939999999994,16.373293333333333,13.675399999999996,16.535273333333333,10.199571093863284,9.356182888018866,9.937877296212346,12.650594134212517,False
2549,300022.SZ,20100114,13.1105,14.4129,13.1105,14.4129,13.1031,1.309800000000001,9.9961,28536.7,162628.5592,13.525899999999996,16.19511333333333,13.449939999999994,16.373293333333333,9.277799748836111,8.269744465027857,8.942336379215842,10.84549257956414,False
2548,300022.SZ,20100115,14.8742,15.5402,14.8717,15.1209,14.4129,0.7080000000000002,4.9123,44596.35,273926.2586,13.911199999999997,15.974673333333332,13.525899999999996,16.19511333333333,8.166378985377854,8.123987328796566,8.634538949401161,10.492629406979743,False
2547,300022.SZ,20100118,15.1431,15.1431,14.6004,14.9852,15.1209,-0.1356999999999999,-0.8974,17723.18,106275.546,14.229899999999997,15.735156666666665,13.911199999999997,15.974673333333332,8.240330459386595,8.075701358673891,9.185196060112645,10.847769799535543,False
2546,300022.SZ,20100119,14.9482,14.9482,14.4623,14.4647,14.9852,-0.5205000000000002,-3.4734,15157.28,89368.1944,14.417359999999997,15.552209999999999,14.229899999999997,15.735156666666665,8.71929594115329,8.705676578152328,9.669194660103562,10.992485153511652,False
2545,300022.SZ,20100120,14.4524,14.4524,13.3202,13.3646,14.4647,-1.1001000000000012,-7.6054,18995.43,105833.1782,14.469659999999996,15.368686666666665,14.417359999999997,15.552209999999999,9.173114047558474,9.376113014979872,11.511605285605256,11.626012001855647,False
2544,300022.SZ,20100121,13.0982,13.7148,13.0982,13.372,13.3646,0.0074000000000005,0.0554,10560.82,57508.1936,14.261479999999995,15.188536666666666,14.469659999999996,15.368686666666665,8.913475919832486,9.223377206102304,12.315061322165718,12.064163924618608,False
2543,300022.SZ,20100122,13.0735,13.0735,12.2792,12.3483,13.372,-1.0236999999999998,-7.6555,18805.06,95233.9154,13.706959999999995,14.996463333333333,14.261479999999995,15.188536666666666,9.94809002048865,9.84815723621875,12.944453892438634,12.954414777742684,False
2542,300022.SZ,20100125,12.0967,12.632,11.9635,12.3483,12.3483,0.0,0.0,11031.6,54863.7182,13.179579999999996,14.768376666666665,13.706959999999995,14.996463333333333,9.80021541426755,9.788229958779752,13.92329308487808,12.882502044815887,False
2541,300022.SZ,20100126,12.4593,12.7775,12.4593,12.6122,12.3483,0.2638999999999996,2.1371,16652.28,85246.6745,12.809079999999994,14.598009999999997,13.179579999999996,14.768376666666665,9.984380203295222,9.89438797354942,13.680880417373656,12.468245032587495,False
2540,300022.SZ,20100127,12.6665,12.7035,11.9635,12.2595,12.6122,-0.3527000000000004,-2.7965,7746.11,38752.5701,12.588059999999995,14.438086666666663,12.809079999999994,14.598009999999997,10.221297769077042,10.621721929931889,13.521106080998411,13.185121742322284,False
2539,300022.SZ,20100128,12.0893,12.257,11.5984,11.9191,12.2595,-0.3403999999999989,-2.7766,10930.72,52645.7387,12.297479999999997,14.26196333333333,12.588059999999995,14.438086666666663,10.347677257511055,10.813316441677642,13.114664697837924,13.714793902224162,False
2538,300022.SZ,20100129,11.7785,12.6048,11.7168,12.2842,11.9191,0.3651,3.0632,13332.94,65719.5034,12.284659999999995,14.12876333333333,12.297479999999997,14.26196333333333,9.899545757965516,10.62844955308445,12.915615180475733,13.246935087347975,False
2537,300022.SZ,20100201,11.4208,12.8515,11.4011,12.1016,12.2842,-0.1826000000000007,-1.4865,45008.86,216750.8506,12.235319999999994,13.983226666666665,12.284659999999995,14.12876333333333,9.987770212203346,11.373867918291797,13.432603953196274,13.901384940834271,False
2536,300022.SZ,20100202,12.0868,13.2412,12.0301,12.5925,12.1016,0.4908999999999999,4.0565,25466.02,131876.3336,12.231379999999994,13.865236666666664,12.235319999999994,13.983226666666665,9.90986698431606,11.106769902719872,12.626801667659322,14.027397260273975,False
2535,300022.SZ,20100203,12.6196,12.7726,11.8451,12.5308,12.5925,-0.0617,-0.49,17741.85,87895.281,12.285639999999995,13.760729999999997,12.231379999999994,13.865236666666664,10.391754716378843,12.277588023111054,12.399607367446613,14.13588916908737,False
2534,300022.SZ,20100204,12.5802,12.6196,12.2126,12.3335,12.5308,-0.1972999999999984,-1.5745,11125.24,55940.1532,12.368519999999995,13.679329999999997,12.285639999999995,13.760729999999997,10.449993919001095,13.352008756638423,13.079985405602628,14.513966027486113,False
2533,300022.SZ,20100205,12.3335,12.743,11.9906,12.1608,12.3335,-0.1727000000000007,-1.4003,13503.36,67493.1352,12.343839999999997,13.587649999999996,12.368519999999995,13.679329999999997,10.73630024340504,13.144036576541016,13.15415104269456,14.097427800802578,False
2532,300022.SZ,20100208,12.1115,12.3064,11.9586,12.0868,12.1608,-0.0739999999999998,-0.6085,9314.45,45814.0146,12.340879999999995,13.482239999999996,12.343839999999997,13.587649999999996,11.38779494986266,14.224525929112753,13.16121719561836,13.71024588807625,False
2531,300022.SZ,20100209,12.0104,12.7232,11.9882,12.479,12.0868,0.392199999999999,3.2449,13575.33,68290.0236,12.318179999999995,13.40914333333333,12.340879999999995,13.482239999999996,11.207789085663917,13.826909207468548,12.601330234794455,13.394021956887574,False
2530,300022.SZ,20100210,12.5777,13.1968,12.3902,13.0217,12.479,0.5427,4.3489,16218.21,84102.3685,12.416359999999994,13.341636666666663,12.318179999999995,13.40914333333333,11.814740010904876,12.729674312877737,12.413356167013525,13.271462251472544,False
2529,300022.SZ,20100211,13.0168,13.1722,12.743,12.8885,13.0217,-0.1331999999999986,-1.0229,13116.14,68850.5006,12.527359999999994,13.273636666666665,12.416359999999994,13.341636666666663,12.77704930752221,12.128253869728828,12.683244753074447,13.245916902665165,False
2528,300022.SZ,20100212,12.8515,13.0784,12.6542,13.0562,12.8885,0.1676999999999999,1.3012,10350.22,54002.7006,12.706439999999995,13.209336666666664,12.527359999999994,13.273636666666665,12.242612705074983,12.151927819733153,12.463657113095694,12.866071291800065,False
2527,300022.SZ,20100222,13.0562,14.3315,13.0538,13.7642,13.0562,0.7080000000000002,5.4227,21257.8,119747.7867,13.041919999999996,13.161236666666664,12.706439999999995,13.209336666666664,12.49102744801732,11.810057976489734,12.222214149750803,12.605745339358625,False
2526,300022.SZ,20100223,13.8012,14.0454,13.446,13.9862,13.7642,0.2219999999999995,1.6129,12927.69,72320.7246,13.343359999999995,13.132459999999998,13.041919999999996,13.161236666666664,12.33687491956357,11.368563298108134,12.62959202642605,12.583761135976893,True
2525,300022.SZ,20100224,15.3848,15.3848,15.3848,15.3848,13.9862,1.3986,9.9999,7383.52,46051.0142,13.815979999999996,13.170939999999998,13.343359999999995,13.132459999999998,10.774400707191514,10.099383807394311,11.513571837137954,12.026610680671832,False
