,ts_code,symbol,name,area,industry,market,list_date
476,002023.SZ,002023,海特高新,四川,航空,中小板,20040721
477,002024.SZ,002024,苏宁易购,江苏,电器连锁,中小板,20040721
478,002025.SZ,002025,航天电器,贵州,元器件,中小板,20040726
479,002026.SZ,002026,山东威达,山东,机械基件,中小板,20040727
480,002027.SZ,002027,分众传媒,广东,影视音像,中小板,20040804
481,002028.SZ,002028,思源电气,上海,电气设备,中小板,20040805
482,002029.SZ,002029,七匹狼,福建,服饰,中小板,20040806
483,002030.SZ,002030,达安基因,广东,生物制药,中小板,20040809
484,002031.SZ,002031,巨轮智能,广东,汽车配件,中小板,20040816
485,002032.SZ,002032,苏泊尔,浙江,家用电器,中小板,20040817
486,002033.SZ,002033,丽江股份,云南,旅游景点,中小板,20040825
487,002034.SZ,002034,旺能环境,浙江,环境保护,中小板,20040826
488,002035.SZ,002035,华帝股份,广东,家用电器,中小板,20040901
489,002036.SZ,002036,联创电子,江西,元器件,中小板,20040903
490,002037.SZ,002037,保利联合,贵州,化工原料,中小板,20040908
491,002038.SZ,002038,双鹭药业,北京,生物制药,中小板,20040909
492,002039.SZ,002039,黔源电力,贵州,水力发电,中小板,20050303
493,002040.SZ,002040,南京港,江苏,港口,中小板,20050325
494,002041.SZ,002041,登海种业,山东,种植业,中小板,20050418
495,002042.SZ,002042,华孚时尚,安徽,纺织,中小板,20050427
496,002043.SZ,002043,兔宝宝,浙江,其他建材,中小板,20050510
497,002044.SZ,002044,美年健康,江苏,医疗保健,中小板,20050518
498,002045.SZ,002045,国光电器,广东,元器件,中小板,20050523
499,002046.SZ,002046,国机精工,河南,机械基件,中小板,20050526
500,002047.SZ,002047,宝鹰股份,深圳,装修装饰,中小板,20050531
501,002048.SZ,002048,宁波华翔,浙江,汽车配件,中小板,20050603
502,002049.SZ,002049,紫光国微,河北,元器件,中小板,20050606
503,002050.SZ,002050,三花智控,浙江,机械基件,中小板,20050607
504,002051.SZ,002051,中工国际,北京,建筑工程,中小板,20060619
505,002052.SZ,002052,*ST同洲,深圳,通信设备,中小板,20060627
506,002053.SZ,002053,云南能投,云南,食品,中小板,20060627
507,002054.SZ,002054,德美化工,广东,化工原料,中小板,20060725
508,002055.SZ,002055,得润电子,深圳,元器件,中小板,20060725
509,002056.SZ,002056,横店东磁,浙江,元器件,中小板,20060802
510,002057.SZ,002057,中钢天源,安徽,元器件,中小板,20060802
