,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30
0,000003.SZ,20020426,2.71,2.71,2.71,2.71,2.58,0.1299999999999999,5.0388,43972.05,11916.4256,2.464,14446.012,2.195,11109.448,2.945,26570.701,4.2637,31606.561
1,000003.SZ,20020419,2.58,2.58,2.58,2.58,2.46,0.1200000000000001,4.878,14121.75,3643.4115,2.346,6660.592,2.09,10064.307,3.1055,25040.3485,4.3983,31272.169
2,000003.SZ,20020412,2.46,2.46,2.46,2.46,2.34,0.1200000000000001,5.1282,4969.37,1222.465,2.234,4876.976,2.021,9949.632,3.2885,33594.8035,4.5433,31231.3563
3,000003.SZ,20020405,2.34,2.34,2.34,2.34,2.23,0.10999999999999988,4.9327,4706.62,1101.3491,2.126,5122.208,2.045,12036.395,3.491,33679.285,4.6963,31667.6117
4,000003.SZ,20020329,2.23,2.23,2.23,2.23,2.12,0.10999999999999988,5.1887,4460.27,994.6402,2.024,6822.384,2.121,13268.233,3.7165,33624.954,4.8537,32375.0183
5,000003.SZ,20020322,2.12,2.12,2.12,2.12,2.02,0.10000000000000009,4.9505,5044.95,1069.5294,1.926,7772.884,2.258,13798.106,3.9655,33635.4405,5.0127,33164.9163
6,000003.SZ,20020315,2.02,2.02,2.02,2.02,1.92,0.10000000000000009,5.2083,5203.67,1051.1413,1.834,13468.022,2.519,20251.865,4.239,35936.0625,5.169,33393.7287
7,000003.SZ,20020308,1.92,1.92,1.92,1.92,1.83,0.08999999999999986,4.918,6195.53,1189.5418,1.808,15022.288,2.767,28709.498,4.5015,37774.397,5.328,33595.5883
8,000003.SZ,20020301,1.83,1.83,1.83,1.83,1.74,0.09000000000000008,5.1724,13207.5,2416.9725,1.964,18950.582,3.032,38587.081,4.7635,38704.8915,5.4877,33862.7197
9,000003.SZ,20020208,1.74,1.74,1.74,1.74,1.66,0.08000000000000007,4.8193,9212.77,1603.022,2.218,19714.082,3.329,40770.331,5.0305,41114.455,5.6557,33738.603
10,000003.SZ,20020201,1.66,1.66,1.66,1.66,1.89,-0.22999999999999998,-12.1693,33520.64,5564.4262,2.59,19823.328,3.695,42031.954,5.298,41855.1175,5.8217,34006.073
11,000003.SZ,20020125,1.89,1.89,1.89,1.89,2.7,-0.8100000000000003,-30.0,12975.0,2452.275,3.204,27035.708,4.121,40016.39,5.5525,41876.1,5.9927,33421.7393
12,000003.SZ,20020111,2.7,2.7,2.7,2.7,3.1,-0.3999999999999999,-12.9032,25837.0,6975.99,3.726,42396.708,4.556,57239.975,5.8045,41872.2185,6.157,33488.1717
13,000003.SZ,20020104,3.1,3.1,3.1,3.1,3.6,-0.5,-13.8889,17025.0,5277.75,4.1,58223.58,4.937,55322.175,6.022,41483.22,6.2983,33165.0347
14,000003.SZ,20011221,3.6,3.6,3.6,3.6,4.73,-1.1300000000000003,-23.8901,9759.0,3513.24,4.44,61826.58,5.312,53981.675,6.22,41928.411,6.4307,33505.408
15,000003.SZ,20010622,4.73,4.73,4.73,4.73,4.5,0.23000000000000043,5.1111,69582.54,32912.5414,4.8,64240.58,5.673,53472.775,6.39,42848.3215,6.5407,33950.9843
16,000003.SZ,20010615,4.5,4.5,4.5,4.5,4.57,-0.07000000000000028,-1.5317,89780.0,40401.0,5.038,52997.072,5.959,51620.26,6.494,39964.6605,6.606,32337.1263
17,000003.SZ,20010608,4.57,4.57,4.57,4.57,4.8,-0.22999999999999954,-4.7917,104971.36,47971.9115,5.386,72083.242,6.236,46839.296,6.6085,36038.6335,6.6823,29954.1857
18,000003.SZ,20010525,4.8,4.8,4.8,4.8,5.4,-0.6000000000000005,-11.1111,35040.0,16819.2,5.774,52420.77,6.495,38822.702,6.7155,31500.539,6.7587,26878.5253
19,000003.SZ,20010518,5.4,5.4,5.4,5.4,5.92,-0.5199999999999996,-8.7838,21829.0,11787.66,6.184,46136.77,6.732,41458.579,6.819,30222.739,6.8293,26251.4223
20,000003.SZ,20010511,5.92,5.92,5.92,5.92,6.24,-0.3200000000000003,-5.1282,13365.0,7912.08,6.546,42704.97,6.901,41678.281,6.885,29993.1325,6.878,26116.937
21,000003.SZ,20010427,6.18,6.47,6.18,6.24,6.51,-0.2699999999999996,-4.1475,185210.85,115411.2583,6.88,50243.448,6.984,43735.81,6.9285,30124.414,6.9123,26456.319
22,000003.SZ,20010426,6.51,6.51,6.51,6.51,6.85,-0.33999999999999986,-4.9635,6659.0,4335.009,7.086,21595.35,7.053,26504.462,6.9575,21612.27,6.936,21165.775
23,000003.SZ,20010425,6.85,6.85,6.85,6.85,7.21,-0.3600000000000003,-4.9931,3620.0,2479.7,7.216,25224.634,7.107,27644.265,6.979,22086.4645,6.944,21273.1667
24,000003.SZ,20010424,7.21,7.21,7.21,7.21,7.59,-0.3799999999999999,-5.0066,4670.0,2479.7,7.28,36780.388,7.128,29875.147,6.99,23267.2745,6.9393,21806.1577
25,000003.SZ,20010423,7.28,7.6,7.27,7.59,7.27,0.3200000000000003,4.4017,51057.39,38033.2407,7.256,40651.592,7.107,32223.868,6.9745,24190.089,6.9207,22192.6083
26,000003.SZ,20010420,7.18,7.44,7.14,7.27,7.16,0.10999999999999943,1.5363,41970.36,30743.9527,7.088,37228.172,7.029,28309.061,6.9295,22695.5595,6.885,20944.9273
27,000003.SZ,20010419,7.12,7.19,7.0,7.16,7.17,-0.009999999999999787,-0.1395,24805.42,17633.5308,7.02,31413.574,6.981,25237.971,6.9055,21511.6305,6.859,19978.5267
28,000003.SZ,20010418,7.25,7.44,7.1,7.17,7.09,0.08000000000000007,1.1283,61398.77,44827.3456,6.998,30063.896,6.936,24178.376,6.8905,20906.437,6.8357,19864.8363
29,000003.SZ,20010417,6.75,7.09,6.75,7.09,6.75,0.33999999999999986,5.037,24026.02,16933.0923,6.976,22969.906,6.906,18986.899,6.878,18647.844,6.8177,18564.294
30,000003.SZ,20010416,6.9,6.99,6.75,6.75,6.93,-0.17999999999999972,-2.5974,33940.29,23108.2956,6.958,23796.144,6.869,18307.984,6.8665,18336.265,6.8033,18758.863
31,000003.SZ,20010412,7.05,7.08,6.89,6.93,7.05,-0.1200000000000001,-1.7021,12897.37,8996.3328,6.97,19389.95,6.873,16513.018,6.8765,17816.5735,6.7943,19625.116
32,000003.SZ,20010411,7.07,7.1,6.98,7.05,7.06,-0.009999999999999787,-0.1416,18057.03,12694.3219,6.942,19062.368,6.862,16720.078,6.8775,18496.4315,6.7747,20048.5663
33,000003.SZ,20010410,7.0,7.15,7.0,7.06,7.0,0.05999999999999961,0.8571,25928.82,18383.6672,6.874,18292.856,6.851,16528.664,6.8625,18087.6175,6.741,20246.2683
34,000003.SZ,20010409,6.81,7.02,6.76,7.0,6.81,0.1900000000000004,2.79,28157.21,19561.9368,6.836,15003.892,6.852,16659.402,6.845,17771.663,6.7033,20765.3167
35,000003.SZ,20010406,6.8,6.94,6.78,6.81,6.79,0.019999999999999574,0.2946,11909.32,8161.9374,6.78,12819.824,6.842,16156.31,6.8275,17176.9785,6.6633,21244.902
36,000003.SZ,20010405,6.7,6.83,6.69,6.79,6.71,0.08000000000000007,1.1923,11259.46,7615.3538,6.776,13636.086,6.83,17082.058,6.813,17262.8605,6.64,22933.5233
37,000003.SZ,20010404,6.87,6.87,6.7,6.71,6.87,-0.16000000000000014,-2.329,14209.47,9620.3629,6.782,14377.788,6.83,17785.29,6.798,17348.8045,6.6153,22767.9413
38,000003.SZ,20010403,6.82,6.92,6.82,6.87,6.72,0.15000000000000036,2.2321,9484.0,6502.7186,6.828,14764.472,6.845,17634.498,6.7855,17708.0665,6.604,22729.2923
39,000003.SZ,20010402,6.78,6.83,6.7,6.72,6.79,-0.07000000000000028,-1.0309,17236.87,11651.4358,6.868,18314.912,6.85,18308.789,6.7735,18352.9915,6.5983,22656.7523
40,000003.SZ,20010330,6.82,6.83,6.74,6.79,6.82,-0.03000000000000025,-0.4399,15990.63,10825.5838,6.904,19492.796,6.864,18364.546,6.7705,18984.3025,6.6017,22344.974
41,000003.SZ,20010329,6.93,6.98,6.8,6.82,6.94,-0.1200000000000001,-1.7291,14967.97,10273.5713,6.884,20528.03,6.88,19120.129,6.755,21181.165,6.5997,22145.613
42,000003.SZ,20010328,7.05,7.07,6.91,6.94,7.07,-0.1299999999999999,-1.8388,16142.89,11271.4328,6.878,21192.792,6.893,20272.785,6.731,21712.8105,6.5933,21881.4947
43,000003.SZ,20010327,6.9,7.14,6.9,7.07,6.9,0.16999999999999993,2.4638,27236.2,19192.6502,6.862,20504.524,6.874,19646.571,6.686,22105.0705,6.588,21519.295
44,000003.SZ,20010326,6.65,6.94,6.62,6.9,6.69,0.20999999999999996,3.139,23126.29,15723.8922,6.832,18302.666,6.838,18883.924,6.629,22818.274,6.5817,20982.2263
45,000003.SZ,20010323,6.79,6.8,6.65,6.69,6.79,-0.09999999999999964,-1.4728,21166.8,14196.8685,6.824,17236.296,6.813,18197.647,6.574,23789.198,6.5753,20476.222
46,000003.SZ,20010322,6.8,6.96,6.52,6.79,6.86,-0.07000000000000028,-1.0204,18291.78,12475.3796,6.876,17712.228,6.796,17443.663,6.545,25859.256,6.579,20274.715
47,000003.SZ,20010321,6.92,6.98,6.82,6.86,6.92,-0.05999999999999961,-0.8671,12701.55,8749.9279,6.908,19352.778,6.766,16912.319,6.508,25259.267,6.5757,20251.579
48,000003.SZ,20010320,6.86,6.95,6.8,6.92,6.86,0.05999999999999961,0.8746,16226.91,11178.2812,6.886,18788.618,6.726,17781.635,6.4835,25276.6895,6.5817,20223.32
