,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30
0,601611.SH,20210519,7.58,7.62,7.38,7.47,7.49,-0.020000000000000462,-0.267,139033.07,104026.15,7.344,173566.636,7.517,183344.131,7.7675,191826.1975,7.9093,269094.3137
1,601611.SH,20210518,7.32,7.53,7.32,7.49,7.31,0.1800000000000006,2.4624,184072.69,137127.339,7.296,237313.826,7.538,194577.488,7.811,207394.567,7.9373,279457.904
2,601611.SH,20210517,7.27,7.35,7.22,7.31,7.3,0.009999999999999787,0.137,136883.82,99717.566,7.356,225009.922,7.578,189579.798,7.843,238044.7295,7.9667,298706.655
3,601611.SH,20210514,7.17,7.34,7.17,7.3,7.15,0.14999999999999947,2.0979,198530.31,144463.737,7.464,222109.358,7.64,187612.616,7.912,265661.04,7.9873,304052.7533
4,601611.SH,20210513,7.11,7.22,7.1,7.15,7.23,-0.08000000000000007,-1.1065,209313.29,149993.496,7.574,215236.15,7.691,182631.682,7.942,273571.853,8.0137,308524.6943
5,601611.SH,20210512,7.59,7.59,7.03,7.23,7.79,-0.5599999999999996,-7.1887,457769.02,330299.002,7.69,193121.626,7.769,178286.708,7.9945,283234.8015,8.0483,322050.482
6,601611.SH,20210511,7.78,7.83,7.71,7.79,7.85,-0.05999999999999961,-0.7643,122553.17,95046.055,7.78,151841.15,7.848,153507.996,8.034,271566.4105,8.062,317919.846
7,601611.SH,20210510,7.81,7.88,7.75,7.85,7.85,0.0,0.0,122381.0,95665.676,7.8,154149.674,7.882,156757.815,8.046,281643.7255,8.0687,324489.5583
8,601611.SH,20210507,7.74,7.95,7.7,7.85,7.73,0.11999999999999922,1.5524,164164.27,128652.576,7.816,153115.874,7.916,162245.25,8.0635,289849.4595,8.0737,331889.3737
9,601611.SH,20210506,7.63,7.77,7.62,7.73,7.68,0.05000000000000071,0.651,98740.67,76254.843,7.808,150027.214,7.954,173317.46,8.081,301295.589,8.0833,343237.4793
10,601611.SH,20210430,7.81,7.87,7.59,7.68,7.89,-0.20999999999999996,-2.6616,251366.64,193187.16,7.848,163451.79,8.018,200308.264,8.1055,311969.405,8.0847,350319.4283
11,601611.SH,20210429,7.99,8.02,7.88,7.89,7.93,-0.040000000000000036,-0.5044,134095.79,106605.218,7.916,155174.842,8.084,220211.646,8.137,321898.112,8.0887,349836.5203
12,601611.SH,20210428,7.82,7.93,7.8,7.93,7.81,0.1200000000000001,1.5365,117212.0,92187.64,7.964,159365.956,8.108,286509.661,8.161,353270.0835,8.086,358334.579
13,601611.SH,20210427,7.89,7.96,7.79,7.81,7.93,-0.1200000000000001,-1.5132,148720.97,116620.873,8.016,171374.626,8.184,343709.464,8.161,362272.822,8.0933,370563.9623
14,601611.SH,20210426,8.02,8.08,7.88,7.93,8.02,-0.08999999999999986,-1.1222,165863.55,132197.133,8.1,196607.706,8.193,364512.024,8.175,371471.2005,8.1047,383123.959
15,601611.SH,20210423,8.13,8.16,7.94,8.02,8.13,-0.11000000000000121,-1.353,209981.9,168506.407,8.188,237164.738,8.22,388182.895,8.188,393932.369,8.1103,399767.9893
16,601611.SH,20210422,8.19,8.25,8.1,8.13,8.19,-0.05999999999999872,-0.7326,155051.36,126291.866,8.252,285248.45,8.22,389624.825,8.169,400125.771,8.1093,410645.6537
17,601611.SH,20210421,8.18,8.23,8.1,8.19,8.23,-0.040000000000000924,-0.486,177255.35,144573.096,8.252,413653.366,8.21,406529.636,8.162,408355.43,8.1017,429627.9727
18,601611.SH,20210420,8.37,8.38,8.19,8.23,8.37,-0.1399999999999988,-1.6726,274886.37,227127.927,8.352,516044.302,8.211,417453.669,8.1525,416711.4355,8.086,459910.3507
19,601611.SH,20210419,8.28,8.41,8.2,8.37,8.34,0.02999999999999936,0.3597,368648.71,307379.202,8.286,532416.342,8.208,429273.718,8.148,428197.489,8.0763,461378.4897
20,601611.SH,20210416,8.06,8.45,8.03,8.34,8.13,0.20999999999999908,2.583,450400.46,371599.263,8.252,539201.052,8.193,423630.546,8.118,425325.0105,8.038,453740.8823
21,601611.SH,20210415,8.32,8.38,8.1,8.13,8.69,-0.5599999999999987,-6.4442,797075.94,657851.271,8.188,494001.2,8.19,423584.578,8.091,414648.9575,7.998,444751.1617
22,601611.SH,20210414,7.85,8.69,7.83,8.69,7.9,0.7899999999999991,10.0,689210.03,577575.69,8.168,399405.906,8.214,420030.506,8.075,394247.038,7.9687,423631.7297
23,601611.SH,20210413,8.14,8.15,7.84,7.9,8.2,-0.29999999999999893,-3.6585,356746.57,282738.95,8.07,318863.036,8.138,380836.18,8.048,383991.2115,7.918,407566.3533
24,601611.SH,20210412,8.03,8.33,7.99,8.2,8.02,0.17999999999999972,2.2444,402572.26,330001.48,8.13,326131.094,8.157,378430.377,8.0605,392429.9265,7.898,404009.7863
25,601611.SH,20210409,7.97,8.16,7.96,8.02,8.03,-0.009999999999999787,-0.1245,224401.2,180682.472,8.134,308060.04,8.156,399681.843,8.0555,405560.5365,7.86,396591.987
26,601611.SH,20210408,8.13,8.16,7.91,8.03,8.2,-0.16999999999999993,-2.0732,324099.47,260126.623,8.192,353167.956,8.118,410626.717,8.054,421156.068,7.831,398115.611
27,601611.SH,20210407,8.15,8.29,8.09,8.2,8.2,0.0,0.0,286495.68,234017.597,8.26,440655.106,8.114,410181.224,8.0475,441177.141,7.803,393976.433
28,601611.SH,20210406,8.22,8.45,8.15,8.2,8.22,-0.02000000000000135,-0.2433,393086.86,325832.134,8.206,442809.324,8.094,415969.202,8.0235,481138.6915,7.768,392092.868
29,601611.SH,20210402,8.31,8.31,8.11,8.22,8.31,-0.08999999999999986,-1.083,312216.99,255687.128,8.184,430729.66,8.088,427121.26,8.0105,477430.8755,7.7357,391650.785
30,601611.SH,20210401,8.29,8.38,8.19,8.31,8.37,-0.05999999999999872,-0.7168,449940.78,373133.311,8.178,491303.646,8.043,427019.475,7.9605,468796.0505,7.7007,392468.1807
31,601611.SH,20210331,7.85,8.53,7.85,8.37,7.93,0.4399999999999995,5.5485,761535.22,627796.758,8.044,468085.478,7.992,405713.337,7.902,455334.4535,7.6513,385057.4983
32,601611.SH,20210330,8.09,8.09,7.85,7.93,8.09,-0.16000000000000014,-1.9778,297266.77,235084.317,7.968,379707.342,7.936,368463.57,7.846,425432.3415,7.5947,366025.272
33,601611.SH,20210329,8.18,8.24,8.04,8.09,8.19,-0.09999999999999964,-1.221,332688.54,269949.316,7.982,389129.08,7.958,387146.243,7.808,420931.44,7.5547,363523.7893
34,601611.SH,20210326,7.68,8.25,7.67,8.19,7.64,0.5499999999999998,7.199,615086.92,496077.027,7.992,423512.86,7.964,406429.476,7.7685,416799.491,7.504,359544.3297
35,601611.SH,20210325,7.94,7.99,7.62,7.64,7.99,-0.35000000000000053,-4.3805,333849.94,258852.057,7.908,362735.304,7.955,411439.23,7.712,395047.059,7.452,352050.1933
36,601611.SH,20210324,7.93,8.11,7.81,7.99,8.0,-0.009999999999999787,-0.125,319644.54,254240.814,7.94,343341.196,7.99,431685.419,7.6875,391860.058,7.427,369547.867
37,601611.SH,20210323,8.14,8.15,7.93,8.0,8.14,-0.14000000000000057,-1.7199,344375.46,276703.163,7.904,357219.798,7.981,472173.058,7.6475,385874.0375,7.416,379353.1497
38,601611.SH,20210322,7.83,8.2,7.79,8.14,7.77,0.370000000000001,4.7619,504607.44,407069.191,7.934,385163.406,7.953,546308.181,7.605,380154.701,7.4227,379838.196
39,601611.SH,20210319,7.72,7.94,7.67,7.77,7.8,-0.03000000000000025,-0.3846,311199.14,242978.477,7.936,389346.092,7.933,527740.491,7.5595,373915.5475,7.4313,382412.409
40,601611.SH,20210318,7.81,7.92,7.76,7.8,7.81,-0.009999999999999787,-0.128,236879.4,185303.773,8.002,460143.156,7.878,510572.626,7.5295,375192.5335,7.4523,390606.0343
41,601611.SH,20210317,8.04,8.04,7.79,7.81,8.15,-0.34000000000000075,-4.1718,389037.55,306360.053,8.04,520029.642,7.812,504955.57,7.481,374729.579,7.4643,402428.7327
42,601611.SH,20210316,8.12,8.21,7.9,8.15,8.15,0.0,0.0,484093.5,390543.398,8.058,587126.318,7.756,482401.113,7.424,364806.123,7.4767,402907.752
43,601611.SH,20210315,8.17,8.35,8.0,8.15,8.1,0.05000000000000071,0.6173,525520.87,426683.177,7.972,707452.956,7.658,454716.637,7.353,351712.5625,7.4773,405400.954
