,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30
0,601577.SH,20210519,9.15,9.2,9.08,9.1,9.18,-0.08000000000000007,-0.8715,84498.09,77007.377,9.202,116062.026,9.187,124317.157,9.385,158169.318,9.5717,147081.2623
1,601577.SH,20210518,9.22,9.26,9.18,9.18,9.27,-0.08999999999999986,-0.9709,75213.38,69252.978,9.222,123446.332,9.178,142971.419,9.413,158051.0635,9.6173,147521.902
2,601577.SH,20210517,9.29,9.41,9.18,9.27,9.33,-0.0600000000000005,-0.6431,161660.73,150024.071,9.226,127204.184,9.175,170731.682,9.435,159669.6945,9.6597,149512.103
3,601577.SH,20210514,9.16,9.33,9.09,9.33,9.13,0.1999999999999993,2.1906,162350.46,149844.349,9.212,118234.362,9.162,191132.337,9.4585,156651.9645,9.7033,150407.548
4,601577.SH,20210513,9.18,9.24,9.08,9.13,9.2,-0.06999999999999851,-0.7609,96587.47,88284.569,9.18,116335.078,9.2,184957.962,9.483,154000.391,9.7423,149214.8717
5,601577.SH,20210512,9.19,9.28,9.15,9.2,9.2,0.0,0.0,121419.62,111909.893,9.172,132572.288,9.262,187770.556,9.521,154554.9825,9.7873,151075.0703
6,601577.SH,20210511,9.13,9.26,9.13,9.2,9.2,0.0,0.0,94002.64,86335.544,9.134,162496.506,9.316,182779.935,9.5645,154468.075,9.83,150962.1947
7,601577.SH,20210510,9.16,9.21,9.05,9.2,9.17,0.02999999999999936,0.3272,116811.62,106557.724,9.124,214259.18,9.372,187512.554,9.6065,156450.949,9.877,154457.581
8,601577.SH,20210507,9.07,9.26,9.02,9.17,9.09,0.08000000000000007,0.8801,152854.04,140351.226,9.112,264030.312,9.448,196026.429,9.654,158942.0025,9.9363,155348.5963
9,601577.SH,20210506,9.02,9.17,9.0,9.09,9.01,0.08000000000000007,0.8879,177773.52,161841.091,9.22,253580.846,9.512,193963.254,9.708,158479.5935,10.0003,156504.8623
10,601577.SH,20210430,9.16,9.21,8.9,9.01,9.15,-0.14000000000000057,-1.5301,271040.71,245354.696,9.352,242968.824,9.583,192021.479,9.764,158463.315,10.0603,162072.2173
11,601577.SH,20210429,9.13,9.43,9.09,9.15,9.14,0.009999999999999787,0.1094,352816.01,325940.821,9.498,203063.364,9.648,173130.708,9.837,149797.1435,10.1303,159634.9747
