,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30
0,600036.SH,20210519,56.0,56.08,54.51,54.8,55.95,-1.1500000000000057,-2.0554,357293.44,1966656.369,54.916,429469.722,54.386,464765.564,53.415,489017.4895,52.3693,469821.6237
1,600036.SH,20210518,55.98,56.39,55.7,55.95,55.65,0.30000000000000426,0.5391,293351.18,1642178.93,54.694,421510.388,54.176,474105.061,53.162,486931.9895,52.2443,469151.6653
2,600036.SH,20210517,55.0,56.49,54.65,55.65,54.98,0.6700000000000017,1.2186,526684.25,2933378.115,54.272,428546.776,53.909,500044.487,52.8365,500912.6875,52.0827,476761.6107
3,600036.SH,20210514,53.49,55.0,52.8,54.98,53.2,1.779999999999994,3.3459,578814.21,3127193.937,53.922,421658.022,53.52,486361.605,52.539,502297.6515,51.9463,478185.5363
4,600036.SH,20210513,53.49,54.45,52.84,53.2,53.69,-0.4899999999999949,-0.9126,391205.53,2085332.075,53.762,450631.932,53.229,464810.106,52.306,497876.8885,51.8117,484885.1833
5,600036.SH,20210512,53.85,54.65,53.07,53.69,53.84,-0.15000000000000568,-0.2786,317496.77,1708649.722,53.856,500061.406,53.116,517315.294,52.169,499053.7315,51.7583,495494.174
6,600036.SH,20210511,53.45,54.15,53.28,53.84,53.9,-0.05999999999999517,-0.1113,328533.12,1767435.334,53.658,526699.734,53.077,532670.535,51.997,498932.31,51.669,511062.225
7,600036.SH,20210510,54.2,54.25,53.01,53.9,54.18,-0.28000000000000114,-0.5168,492240.48,2630309.849,53.546,571542.198,52.954,542744.301,51.83,497256.1875,51.6143,519278.2257
8,600036.SH,20210507,53.88,55.2,53.31,54.18,53.67,0.509999999999998,0.9503,723683.76,3943891.332,53.118,551065.188,52.853,545966.613,51.6565,497674.675,51.6003,522734.2967
9,600036.SH,20210506,52.7,54.38,52.48,53.67,52.7,0.9699999999999989,1.8406,638352.9,3432136.281,52.696,478988.28,52.634,509172.644,51.497,483690.5875,51.587,525001.3483
10,600036.SH,20210430,52.8,53.18,51.81,52.7,53.28,-0.5799999999999983,-1.0886,450688.41,2370742.204,52.376,534569.182,52.444,513269.415,51.361,472349.6535,51.5233,529599.0387
11,600036.SH,20210429,52.0,53.35,51.29,53.28,51.76,1.5200000000000031,2.9366,552745.44,2913105.773,52.496,538641.336,52.148,499758.918,51.2785,466674.9675,51.5747,530669.1953
12,600036.SH,20210428,52.2,52.38,51.48,51.76,52.07,-0.3100000000000023,-0.5954,389855.43,2019590.447,52.362,513946.404,51.764,501780.888,51.1695,465120.1725,51.5787,529988.1677
13,600036.SH,20210427,51.95,52.43,51.58,52.07,52.07,0.0,0.0,363299.22,1890139.553,52.588,540868.038,51.558,518233.698,51.1595,474097.502,51.664,540231.7453
14,600036.SH,20210426,54.0,54.5,51.7,52.07,53.3,-1.2299999999999969,-2.3077,916257.41,4814829.661,52.572,539357.008,51.383,530943.671,51.103,494922.722,51.6987,559432.41
15,600036.SH,20210423,52.7,53.5,52.31,53.3,52.61,0.6899999999999977,1.3115,471049.18,2495321.515,52.512,491969.648,51.222,480792.169,51.0795,484583.614,51.7403,557417.414
16,600036.SH,20210422,52.89,53.3,52.17,52.61,52.89,-0.28000000000000114,-0.5294,429270.78,2255144.62,51.8,460876.5,50.917,465194.085,50.965,500258.07,51.696,571856.119
17,600036.SH,20210421,52.06,53.19,52.03,52.89,51.99,0.8999999999999986,1.7311,524463.6,2758929.437,51.166,489615.372,50.706,451768.074,50.9445,507545.188,51.584,580077.424
18,600036.SH,20210420,51.01,52.19,51.01,51.99,51.77,0.21999999999999886,0.425,355744.07,1842179.46,50.528,495599.358,50.46,449382.737,50.974,511118.1385,51.4377,595369.3857
19,600036.SH,20210419,49.9,51.78,49.5,51.77,49.74,2.030000000000001,4.0812,679320.61,3476651.827,50.194,522530.334,50.36,458208.531,51.0635,532915.7005,51.369,606782.503
20,600036.SH,20210416,49.72,49.85,49.09,49.74,49.44,0.30000000000000426,0.6068,315583.44,1563464.005,49.932,469614.69,50.278,431429.892,51.063,537763.8505,51.3567,608645.011
21,600036.SH,20210415,49.72,49.98,48.28,49.44,49.7,-0.2600000000000051,-0.5231,572965.14,2810517.787,50.034,469511.67,50.409,433591.017,51.288,546124.334,51.4453,625893.531
22,600036.SH,20210414,50.58,50.6,49.28,49.7,50.32,-0.6199999999999974,-1.2321,554383.53,2758186.625,50.246,413920.776,50.575,428459.457,51.486,544091.8075,51.5563,650659.1313
23,600036.SH,20210413,50.5,51.2,49.94,50.32,50.46,-0.14000000000000057,-0.2774,490398.95,2476556.21,50.392,403166.116,50.761,429961.306,51.717,551230.769,51.5513,665772.554
24,600036.SH,20210412,50.29,50.65,49.69,50.46,50.25,0.21000000000000085,0.4179,414742.39,2082171.992,50.526,393886.728,50.823,458901.773,51.8565,573676.7795,51.5537,679232.0433
25,600036.SH,20210409,50.72,50.72,49.86,50.25,50.5,-0.25,-0.495,315068.34,1578603.909,50.624,393245.094,50.937,488375.059,51.9995,595730.0365,51.575,709650.2557
26,600036.SH,20210408,50.2,50.63,50.05,50.5,50.43,0.07000000000000028,0.1388,295010.67,1486758.655,50.784,397670.364,51.013,535322.055,52.0855,625187.136,51.715,728687.5533
27,600036.SH,20210407,51.15,51.15,50.02,50.43,50.99,-0.5600000000000023,-1.0983,500610.23,2520490.066,50.904,442998.138,51.183,563322.302,52.023,644232.099,51.8183,746997.9397
28,600036.SH,20210406,51.1,51.83,50.8,50.99,50.95,0.03999999999999915,0.0785,444002.01,2275875.718,51.13,456756.496,51.488,572853.54,51.9265,668362.71,51.989,762077.2993
29,600036.SH,20210402,51.18,51.25,50.65,50.95,51.05,-0.09999999999999432,-0.1959,411534.22,2093013.199,51.12,523916.818,51.767,607622.87,51.8735,681069.489,52.096,773994.2807
30,600036.SH,20210401,51.09,51.28,50.7,51.05,51.1,-0.05000000000000426,-0.0978,337194.69,1718217.148,51.25,583505.024,51.848,644097.809,51.896,697252.5705,52.2377,783949.1947
31,600036.SH,20210331,51.5,51.5,50.14,51.1,51.56,-0.46000000000000085,-0.8922,521649.54,2652348.781,51.242,672973.746,52.167,658657.651,51.9635,722044.788,52.3923,808406.479
32,600036.SH,20210330,51.1,51.56,50.43,51.56,50.94,0.6200000000000045,1.2171,569402.02,2902290.112,51.462,683646.466,52.397,659724.158,52.047,761758.9685,52.5073,816135.0833
33,600036.SH,20210329,51.7,51.8,50.55,50.94,51.6,-0.6600000000000037,-1.2791,779803.62,3969007.334,51.846,688950.584,52.673,672500.232,51.9465,783678.178,52.6307,817788.525
34,600036.SH,20210326,51.45,51.82,50.73,51.6,51.01,0.5900000000000034,1.1566,709475.25,3643743.955,52.414,691328.922,52.89,688451.786,51.919,789397.1785,52.7747,819007.663
