,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma30,ma20_rank,ma20_rank_standard,signal,close5v,close10v,close20v,close30v,assets,bmoney,count,bprice,sdate,smoney,sprice,free,earnings
0,000001.SZ,20001113,3.4044,3.4658,3.4,3.4373,3.4088,0.0285000000000001,0.8361,52375.0,81950.0945,3.3951799999999976,3.41951,3.3956349999999995,3.372333333333332,6.0,1.0,1.0,9.980798882844091,9.97439851045879,9.43851278619847,9.1830797428214,9968.17,9968.17,2900,3.4373,20001129,9872.76,3.4044,19.745520000000017,-95.40999999999985
1,000001.SZ,20010206,3.2004,3.2465,3.1543,3.2201,3.2004,0.0196999999999998,0.6155,22101.48,32148.9785,3.238979999999999,3.213780000000001,3.1834999999999973,3.211726666666664,6.0,1.0,1.0,9.741312381603056,9.720816123722866,10.28632651159902,11.376044222229122,9660.3,9660.3,3000,3.2201,20010208,9298.5,3.0995,18.597000000000016,-361.7999999999993
2,000001.SZ,20010307,3.3232,3.411,3.3123,3.3847,3.3123,0.0724,2.1858,153459.69,236435.1214,3.287279999999999,3.1874600000000024,3.1568599999999964,3.1767099999999977,6.0,1.0,1.0,10.758117410701097,10.99152066652879,10.492510414512363,10.751617573197034,9477.16,9477.16,2800,3.3847,20010412,10097.359999999999,3.6062,20.194720000000014,620.1999999999989
3,000001.SZ,20010416,3.729,3.7532,3.6852,3.7071,3.6961,0.0110000000000001,0.2976,175754.28,297997.9887,3.6448,3.611030000000001,3.6104749999999965,3.5882899999999975,6.0,1.0,1.0,9.544387796390708,9.189393326319765,9.011896091284292,9.514715006339188,10009.17,10009.17,2700,3.7071,20010418,9825.57,3.6391,19.651140000000016,-183.60000000000036
4,000001.SZ,20010531,3.5865,3.604,3.547,3.5536,3.5755,-0.0219,-0.6125,68527.21,111426.1236,3.5000600000000004,3.44654,3.4372049999999965,3.484909999999999,6.0,1.0,1.0,9.777690229626296,9.722253489419181,9.450416479063485,9.32716118865376,9594.72,9594.72,2700,3.5536,20010611,9215.64,3.4132,18.431280000000015,-379.0799999999999
5,000001.SZ,20010614,3.5097,3.5536,3.4439,3.4549,3.4878,-0.0329000000000001,-0.9433,66614.86,106511.3812,3.4461000000000004,3.4789800000000013,3.462759999999997,3.4511299999999983,6.0,1.0,1.0,9.73950041969377,9.720397117137978,9.593620654722278,9.517207444499117,9328.23,9328.23,2700,3.4549,20010620,9049.86,3.3518,18.099720000000016,-278.369999999999
6,000001.SZ,20011018,2.8692,2.9372,2.8516,2.8714,2.8582,0.0131999999999998,0.4618,87073.21,114648.7395,2.83012,2.7882200000000026,2.761464999999995,2.7767499999999994,6.0,1.0,1.0,10.526920665877274,10.526920665877274,10.0,10.22915650901999,9188.48,9188.48,3200,2.8714,20011120,9469.119999999999,2.9591,18.938240000000015,280.6399999999994
7,000001.SZ,20011205,2.9832,2.9854,2.8999,2.9043,2.981,-0.0766999999999997,-2.573,46200.15,61795.8214,2.9455200000000006,2.9547300000000027,2.9345449999999955,2.950843333333332,6.0,1.0,1.0,9.697689632613711,9.471129015597562,9.093413214888269,7.250628378611025,9293.76,9293.76,3200,2.9043,20011210,9223.359999999999,2.8823,18.446720000000013,-70.40000000000146
8,000001.SZ,20020305,2.2769,2.3493,2.2725,2.3252,2.2725,0.0527000000000001,2.319,59252.16,62515.452,2.2642000000000007,2.281740000000003,2.2647299999999952,2.298036666666664,6.0,1.0,1.0,10.622312059177705,11.263977292275932,10.084723894718731,10.169877859969034,9300.800000000001,9300.800000000001,4000,2.3252,20020404,9748.0,2.437,19.496000000000016,447.1999999999989
9,000001.SZ,20020508,2.5292,2.5774,2.5072,2.5226,2.5226,0.0,0.0,79135.26,91729.9635,2.4335199999999997,2.373190000000003,2.397214999999994,2.4262066666666646,6.0,1.0,1.0,9.643621660191865,9.730436850868152,9.904463648616506,9.747879172282566,9585.880000000001,9585.880000000001,3800,2.5226,20020515,9244.26,2.4327,18.488520000000015,-341.6200000000008
10,000001.SZ,20020517,2.4612,2.4941,2.4436,2.4787,2.459,0.0196999999999998,0.8011,51529.53,57970.3255,2.4638199999999997,2.4883800000000025,2.417844999999995,2.418389999999998,6.0,1.0,1.0,9.646185500463954,9.867269133013274,9.911647234437407,13.106467099689354,9419.06,9419.06,3800,2.4787,20020606,9494.3,2.4985,18.988600000000016,75.23999999999978
11,000001.SZ,20020612,2.5226,2.5445,2.4875,2.5379,2.5226,0.0152999999999998,0.6065,33311.12,38103.6986,2.519520000000001,2.4890200000000036,2.4657749999999945,2.4616066666666643,6.0,1.0,1.0,9.645770124906418,12.48079120532724,12.43744828401434,13.161669096497103,9390.23,9390.23,3700,2.5379,20020617,9090.16,2.4568,18.180320000000016,-300.0699999999997
12,000001.SZ,20020618,2.4568,2.5116,2.4568,2.4919,2.4568,0.0350999999999999,1.4287,33824.26,38387.7976,2.4857400000000007,2.491230000000004,2.4693949999999947,2.477186666666664,6.0,1.0,1.0,12.684698422890165,13.160239174926765,12.306272322324332,13.351258076166781,8970.839999999998,8970.839999999998,3600,2.4919,20020619,8812.8,2.448,17.625600000000013,-158.03999999999905
13,000001.SZ,20020621,2.4678,2.6564,2.4678,2.6125,2.459,0.1534999999999997,6.2424,321467.7,380398.6269,2.4936400000000005,2.5002200000000037,2.477179999999995,2.4733833333333313,6.0,1.0,1.0,12.59444976076555,12.519043062200959,12.586028708133972,12.599043062200959,8882.5,8882.5,3400,2.6125,20020916,10708.980000000001,3.1497,21.417960000000022,1826.4800000000014
14,000001.SZ,20021111,2.948,2.9635,2.8704,2.8815,2.9435,-0.0619999999999998,-2.1063,79066.31,103445.3328,2.9732200000000035,2.9328900000000044,2.9238099999999934,2.9651099999999984,6.0,1.0,1.0,9.399965295852855,9.099774423043554,8.899878535484989,8.699982647926428,10661.55,10661.55,3700,2.8815,20021114,10415.5,2.815,20.831000000000017,-246.04999999999927
15,000001.SZ,20030117,2.5202,2.5579,2.4892,2.5246,2.5202,0.0043999999999999,0.1746,111068.88,126229.4987,2.473640000000003,2.3860900000000043,2.380444999999994,2.419193333333333,6.0,1.0,1.0,9.982571496474689,9.991285748237345,9.719163431830784,9.481898122474847,10350.86,10350.86,4100,2.5246,20030122,10169.230000000001,2.4803,20.33846000000002,-181.6299999999992
16,000001.SZ,20030124,2.4759,2.5313,2.4382,2.5202,2.4759,0.0442999999999997,1.7892,71262.42,80316.3284,2.504240000000003,2.488940000000004,2.3907499999999944,2.416463333333333,6.0,1.0,1.0,10.008729465915405,9.832949765891595,9.74486151892707,9.62185540830093,10332.82,10332.82,4100,2.5202,20030221,9923.64,2.4204,19.847280000000016,-409.1800000000003
17,000001.SZ,20030327,2.447,2.6044,2.4382,2.5734,2.4493,0.1240999999999998,5.0668,278260.89,319174.4726,2.485600000000003,2.450590000000005,2.4523549999999936,2.460926666666665,6.0,1.0,1.0,10.198181394264399,10.56850858786042,10.3015465920572,11.024714385637678,9778.92,9778.92,3800,2.5734,20030523,10604.28,2.7906,21.20856000000002,825.3600000000006
18,000001.SZ,20030603,2.7551,2.764,2.7152,2.7219,2.7551,-0.0331999999999998,-1.205,93602.17,115298.6591,2.771080000000002,2.781060000000006,2.7678699999999927,2.7848999999999986,6.0,1.0,1.0,9.706822440207208,9.649876924207353,9.02274146735736,9.112384731253902,10615.410000000002,10615.410000000002,3900,2.7219,20030605,10632.570000000002,2.7263,21.265140000000024,17.159999999999854
19,000001.SZ,20030821,2.3872,2.4049,2.3717,2.4049,2.3783,0.0266000000000001,1.1184,22940.33,24754.0115,2.398700000000002,2.383410000000004,2.375439999999993,2.393766666666664,6.0,1.0,1.0,9.520978003243378,9.410370493575616,8.737577446047652,8.804939914341553,10581.56,10581.56,4400,2.4049,20030828,9947.52,2.2608,19.89504000000002,-634.039999999999
20,000001.SZ,20031201,1.8922,1.9463,1.89,1.9373,1.8877,0.0496,2.6275,53134.33,45426.541,1.9188000000000016,1.8660800000000042,1.8302649999999947,1.8682599999999987,6.0,1.0,1.0,9.86011459247406,10.36029525628452,10.0,10.674134104165592,9880.23,9880.23,5100,1.9373,20040102,9926.13,1.9463,19.852260000000015,45.899999999999636
21,000001.SZ,20040105,1.9463,2.0229,1.9373,2.0093,1.9463,0.0630000000000001,3.2369,120577.77,106529.1099,1.9539400000000011,1.9674500000000044,1.9615949999999949,1.947779999999999,6.0,1.0,1.0,10.303090628577113,10.68431792166426,11.78271039665555,11.59209675011198,10046.5,10046.5,5000,2.0093,20040308,11725.000000000002,2.345,23.450000000000024,1678.5000000000018
22,000001.SZ,20040312,2.4216,2.4283,2.3788,2.4013,2.4306,-0.0293000000000001,-1.2055,80749.78,85983.2653,2.3864400000000003,2.390720000000003,2.3884549999999924,2.3641233333333327,6.0,1.0,1.0,10.478490817473869,10.17823678840628,9.606046724690794,8.799400324824054,11526.24,11526.24,4800,2.4013,20040401,11558.880000000001,2.4081,23.117760000000022,32.64000000000124
23,000001.SZ,20040406,2.3878,2.4036,2.3517,2.3991,2.3855,0.0135999999999998,0.5701,113220.94,119232.5032,2.40222,2.412580000000004,2.4428699999999917,2.4170000000000016,6.0,1.0,1.0,9.29556917177275,8.807469467717063,8.600725271976993,8.469426034763035,11515.679999999998,11515.679999999998,4800,2.3991,20040407,11364.0,2.3675,22.72800000000002,-151.67999999999847
24,000001.SZ,20040602,2.1851,2.2616,2.1715,2.2391,2.1738,0.0653000000000001,3.004,161922.06,160024.843,2.147199999999999,2.094270000000004,2.084359999999994,2.0995266666666677,6.0,1.0,1.0,9.15501764101648,9.265776428029119,8.812915903711312,8.450716805859496,11419.41,11419.41,5100,2.2391,20040609,10454.49,2.0499,20.908980000000017,-964.9200000000001
