,基金代码,基金简称,类型,2021-07-14-单位净值,2021-07-14-累计净值,2021-07-13-单位净值,2021-07-13-累计净值,增长值,增长率,市价,折价率
455,159967,华夏创成长ETF行情,指数型-股票,0.8405,3.0581,0.8456,3.0766,-0.0051,-0.60%,0.8380,0.30%
456,516760,平安中证畜牧养殖ETF行情,指数型-股票,0.8390,0.8390,0.8477,0.8477,-0.0087,-1.03%,0.8400,-0.12%
457,159848,国联安中证全指证券公司ETF行情,指数型-股票,0.8321,1.0314,0.8407,1.0420,-0.0086,-1.02%,0.8310,0.13%
458,510150,招商上证消费80ETF行情,指数型-股票,0.8301,3.2830,0.8324,3.2921,-0.0023,-0.28%,0.8310,-0.11%
459,512710,富国中证军工龙头ETF行情,指数型-股票,0.8272,1.6544,0.8435,1.6870,-0.0163,-1.93%,0.8270,0.02%
460,159865,国泰中证畜牧养殖ETF行情,指数型-股票,0.8057,0.8057,0.8143,0.8143,-0.0086,-1.06%,0.8070,-0.16%
461,159909,招商深证TMT50ETF行情,指数型-股票,0.8029,2.4186,0.8083,2.4348,-0.0054,-0.67%,0.8010,0.24%
462,512010,易方达沪深300医药ETF行情,指数型-股票,0.8022,3.2088,0.7965,3.1860,0.0057,0.72%,0.8010,0.15%
463,159867,鹏华中证畜牧养殖ETF行情,指数型-股票,0.7926,0.7926,0.8009,0.8009,-0.0083,-1.04%,0.7930,-0.05%
464,510030,华宝上证180价值ETF行情,指数型-股票,0.7890,2.1610,0.8020,2.1960,-0.0130,-1.62%,0.7880,0.13%
465,512200,南方中证房地产ETF行情,指数型-股票,0.7881,0.7881,0.7986,0.7986,-0.0105,-1.31%,0.7900,-0.24%
466,513330,华夏恒生互联网科技业ETF(QDII)行情,QDII,0.7879,0.7879,0.7876,0.7876,0.0003,0.04%,0.7860,0.24%
467,159975,招商深证100ETF行情,指数型-股票,0.7831,1.7894,0.7890,1.8029,-0.0059,-0.75%,0.7830,0.01%
468,512980,广发中证传媒ETF行情,指数型-股票,0.7685,0.7685,0.7771,0.7771,-0.0086,-1.11%,0.7690,-0.07%
469,159930,汇添富中证能源ETF行情,指数型-股票,0.7623,0.7623,0.7603,0.7603,0.0020,0.26%,0.7610,0.17%
470,159845,华夏中证1000ETF行情,指数型-股票,0.7487,1.1784,0.7576,1.1924,-0.0089,-1.17%,0.7500,-0.17%
471,159991,招商创业板大盘ETF行情,指数型-股票,0.7257,2.0610,0.7304,2.0743,-0.0047,-0.64%,0.7260,-0.04%
472,159945,广发中证全指能源ETF行情,指数型-股票,0.7148,0.7148,0.7136,0.7136,0.0012,0.17%,0.7120,0.39%
473,159966,华夏创蓝筹ETF行情,指数型-股票,0.7063,2.1729,0.7096,2.1831,-0.0033,-0.47%,0.7060,0.04%
474,159814,西部利得创业板大盘ETF行情,指数型-股票,0.7002,1.4417,0.7050,1.4516,-0.0048,-0.68%,0.7000,0.03%
475,510160,中证南方小康产业指数ETF行情,指数型-股票,0.6945,1.7279,0.7053,1.7547,-0.0108,-1.53%,0.7000,-0.79%
476,159922,嘉实中证500ETF行情,指数型-股票,---,---,7.7465,2.1720,---,---,7.6900,---
477,513100,国泰纳斯达克100ETF行情,QDII,---,---,4.9420,4.9420,---,---,4.9380,---
478,513500,博时标普500ETF行情,QDII,---,---,2.6714,2.6714,---,---,2.6710,---
479,513030,华安德国30(DAX)ETF行情,QDII,---,---,1.2550,1.2550,---,---,1.2380,---
480,513050,易方达中概互联50ETF行情,QDII,---,---,1.7940,1.7940,---,---,1.7970,---
481,159941,广发纳斯达克100ETF行情,QDII,---,---,2.9933,2.9933,---,---,2.9880,---
