,基金代码,拼音缩写,基金简称,基金类型,拼音全称
1246,001638,QHKYYSLCGPC,前海开源优势蓝筹股票C,股票型,QIANHAIKAIYUANYOUSHILANCHOUGUPIAOC
1247,001641,FGJDSYDCLHHA,富国绝对收益多策略混合A,混合型-平衡,FUGUOJUEDUISHOUYIDUOCELUEHUNHEA
1248,001643,HFJXZZXFGPA,汇丰晋信智造先锋股票A,股票型,HUIFENGJINXINZHIZAOXIANFENGGUPIAOA
1249,001644,HFJXZZXFGPC,汇丰晋信智造先锋股票C,股票型,HUIFENGJINXINZHIZAOXIANFENGGUPIAOC
1250,001645,GTDJKGPA,国泰大健康股票A,股票型,GUOTAIDAJIANKANGGUPIAOA
1251,001648,GYXJZLHPZHHA,工银新价值灵活配置混合A,混合型-灵活,GONGYINXINJIAZHILINGHUOPEIZHIHUNHEA
1252,001650,GYFSHBLHPZHHA,工银丰收回报灵活配置混合A,混合型-灵活,GONGYINFENGSHOUHUIBAOLINGHUOPEIZHIHUNHEA
1253,001651,GYXLCGPA,工银新蓝筹股票A,股票型,GONGYINXINLANCHOUGUPIAOA
1254,001654,GLATXLHPZHHC,国联安添鑫灵活配置混合C,混合型-灵活,GUOLIANANTIANXINLINGHUOPEIZHIHUNHEC
1255,001656,NYZGYSLHPZHH,农银中国优势灵活配置混合,混合型-灵活,NONGYINZHONGGUOYOUSHILINGHUOPEIZHIHUNHE
1256,001657,CAXFLXHH,长安鑫富领先混合,混合型-灵活,CHANGANXINFULINGXIANHUNHE
1257,001659,FADXDLHH,富安达新动力混合,混合型-灵活,FUANDAXINDONGLIHUNHE
1258,001660,FADHYLDHH,富安达行业轮动混合,混合型-灵活,FUANDAHANGYELUNDONGHUNHE
1259,001661,BSXYZCZZQC,博时信用债纯债债券C,债券型-长债,BOSHIXINYONGZHAICHUNZHAIZHAIQUANC
1260,001662,CJHXHGSJXHH,创金合信沪港深精选混合,混合型-灵活,CHUANGJINHEXINHUGANGSHENJINGXUANHUNHE
1261,001664,PAXAHHA,平安鑫安混合A,混合型-灵活,PINGANXINANHUNHEA
1262,001665,PAXAHHC,平安鑫安混合C,混合型-灵活,PINGANXINANHUNHEC
1263,001666,PHTLBHBA,鹏华添利宝货币A,货币型,PENGHUATIANLIBAOHUOBIA
1264,001667,NFZXHH,南方转型混合,混合型-灵活,NANFANGZHUANXINGHUNHE
1265,001668,HTFQQHLHH,汇添富全球互联混合,QDII,HUITIANFUQUANQIUHULIANHUNHE
1266,001669,NAJXBHBC,诺安聚鑫宝货币C,货币型,NUOANJUXINBAOHUOBIC
1267,001672,GSABZHSHGP,国寿安保智慧生活股票,股票型,GUOSHOUANBAOZHIHUISHENGHUOGUPIAO
1268,001675,JXTFA,江信同福A,混合型-灵活,JIANGXINTONGFUA
1269,001676,JXTFC,江信同福C,混合型-灵活,JIANGXINTONGFUC
1270,001677,ZYZLXXCYGPA,中银战略新兴产业股票A,股票型,ZHONGYINZHANLUEXINXINGCHANYEGUPIAOA
