,基金代码,基金简称,2021-07-14-单位净值,2021-07-14-累计净值,2021-07-13-单位净值,2021-07-13-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
9784,008244,上银鑫卓混合,,,1.6904,1.6904,,,开放申购,开放赎回,0.15%
9785,320017,诺安全球收益不动产,,,1.6880,1.6880,,,开放申购,开放赎回,0.15%
9786,164906,交银中证海外中国互联网指数,,,1.6580,1.6580,,,开放申购,开放赎回,0.12%
9787,006555,浦银安盛全球智能科技(QDII),,,1.6579,1.6579,,,开放申购,开放赎回,0.15%
9788,460010,华泰柏瑞亚洲领导企业混合,,,1.6570,1.6570,,,开放申购,开放赎回,0.16%
9789,519981,长信标普100等权重指数人民币,,,1.6550,2.1720,,,开放申购,开放赎回,0.14%
9790,486001,工银全球股票(QDII)人民币,,,1.6220,2.4450,,,开放申购,开放赎回,0.16%
9791,160125,南方香港优选股票,,,1.6149,1.7049,,,开放申购,开放赎回,0.13%
9792,005698,华夏全球科技先锋混合,,,1.6073,1.6073,,,开放申购,开放赎回,0.15%
9793,519602,海富通大中华混合(QDII),,,1.6020,1.6020,,,限大额,开放赎回,0.15%
9794,952013,国君资管君得益三个月持有混合A,,,1.5859,1.8739,,,开放申购,开放赎回,1.20%
9795,010805,东财新能源车A,,,1.5836,1.5836,,,开放申购,开放赎回,0.12%
9796,952313,国君资管君得益三个月持有混合C,,,1.5828,1.5828,,,开放申购,开放赎回,0.00%
9797,010806,东财新能源车C,,,1.58,1.58,,,开放申购,开放赎回,0.00%
9798,008763,天弘越南市场股票(QDII)A,,,1.5133,1.5133,,,开放申购,开放赎回,0.10%
9799,050015,博时大中华亚太精选,,,1.5090,1.5910,,,开放申购,开放赎回,0.16%
9800,008764,天弘越南市场股票(QDII)C,,,1.5077,1.5077,,,开放申购,开放赎回,0.00%
9801,004900,财通资管鑫锐混合A,,,1.4994,1.4994,,,开放申购,开放赎回,0.12%
9802,070039,嘉实中证500ETF联接C,,,1.4982,1.4982,,,开放申购,开放赎回,0.00%
9803,004901,财通资管鑫锐混合C,,,1.4857,1.4857,,,开放申购,开放赎回,0.12%
9804,161229,国投瑞银中国价值发现股票,,,1.4850,1.8550,,,开放申购,开放赎回,0.15%
9805,005699,工银新经济人民币,,,1.4824,1.4824,,,开放申购,开放赎回,0.15%
9806,050030,博时亚洲票息收益债券,,,1.4695,1.6120,,,开放申购,开放赎回,0.08%
9807,000614,华安德国30(DAX)联接,,,1.4650,1.4650,,,开放申购,开放赎回,0.12%
9808,003629,上投摩根全球多元配置人民币,,,1.4560,1.4560,,,开放申购,开放赎回,0.15%
9809,005925,建信福泽裕泰混合(FOF)A,,,1.4408,1.4408,,,开放申购,开放赎回,1.20%
9810,005522,华泰保兴吉年福定开混合,,,1.43,1.43,,,暂停申购,暂停赎回,1.50%
9811,008079,诺德大类精选(FOF),,,1.4171,1.4171,,,暂停申购,暂停赎回,0.12%
9812,000049,中银标普全球资源等权重指数,,,1.4160,1.4160,,,开放申购,开放赎回,0.15%
9813,000520,上银新兴价值成长混合,,,1.4120,2.66,,,限大额,开放赎回,0.15%
9814,005926,建信福泽裕泰混合(FOF)C,,,1.4115,1.4115,,,开放申购,开放赎回,0.00%
9815,005215,南方全天候策略(FOF)A,,,1.4026,1.4026,,,开放申购,开放赎回,0.08%
9816,006327,易方达中证海外50ETF联接人民币A,,,1.3904,1.3904,,,开放申购,开放赎回,0.12%
